reaction,direction,ReactionType,coenzyme,reaction_def
R00019_v1,reverse,KEGG (Modified),"4Fe4S, NAD/NADP",2C00139 + C00282 + Z00032 + Z00002 => 2C00138 + 2C00080 + Z00032 + Z00002
R00021_v1,forward,KEGG (Modified),"FAD, 3Fe4S",2C00025 + 2C00139 + Z00067 + Z00013 => 2C00138 + 2C00080 + C00064 + C00026 + Z00067 + Z00013
R00021_v1,reverse,KEGG (Modified),"FAD, 3Fe4S",2C00138 + 2C00080 + C00064 + C00026 + Z00067 + Z00013 => 2C00025 + 2C00139 + Z00067 + Z00013
R00021_v2,forward,KEGG (Modified),"FMN, 3Fe4S",2C00025 + 2C00139 + Z00067 + Z00014 => 2C00138 + 2C00080 + C00064 + C00026 + Z00067 + Z00014
R00021_v2,reverse,KEGG (Modified),"FMN, 3Fe4S",2C00138 + 2C00080 + C00064 + C00026 + Z00067 + Z00014 => 2C00025 + 2C00139 + Z00067 + Z00014
R00022,forward,KEGG,,C01674 + C00001 => 2C00140
R00022,reverse,KEGG,,2C00140 => C01674 + C00001
R00023,forward,KEGG,,2C00192 + 2C00003 => 2C00004 + 2C00080 + C01818
R00023,reverse,KEGG,,2C00004 + 2C00080 + C01818 => 2C00192 + 2C00003
R00024_v1,forward,KEGG (Modified),Mg,C01182 + C00011 + C00001 + Z00029 => 2C00197 + Z00029
R00024_v1,reverse,KEGG (Modified),Mg,2C00197 + Z00029 => C01182 + C00011 + C00001 + Z00029
R00025,forward,KEGG,,C18091 + C00007 + C01847 => C00084 + C00088 + C00061 + C00001
R00026,forward,KEGG,,C00185 + C00001 => 2C00221
R00026,reverse,KEGG,,2C00221 => C00185 + C00001
R00027_v1,forward,KEGG (Modified),Thiamine diphosphate,C01408 + Z00047 => 2C00261 + Z00047
R00027_v1,reverse,KEGG (Modified),Thiamine diphosphate,2C00261 + Z00047 => C01408 + Z00047
R00028_v1,forward,KEGG (Modified),"NAD/NADP, Ni",C00208 + C00001 + Z00032 + Z00034 => 2C00031 + Z00032 + Z00034
R00028_v1,reverse,KEGG (Modified),"NAD/NADP, Ni",2C00031 + Z00032 + Z00034 => C00208 + C00001 + Z00032 + Z00034
R00028_v2,forward,KEGG (Modified),Mn,C00208 + C00001 + Z00030 => 2C00031 + Z00030
R00028_v2,reverse,KEGG (Modified),Mn,2C00031 + Z00030 => C00208 + C00001 + Z00030
R00029_v1,forward,KEGG (Modified),Heme,2C00320 + 2C00125 + Z00025 => 2C00126 + C02084 + Z00025
R00029_v1,reverse,KEGG (Modified),Heme,2C00126 + C02084 + Z00025 => 2C00320 + 2C00125 + Z00025
R00031_v1,forward,KEGG (Modified),"THF (H4F), Cu",2C00082 + C00007 + Z00070 + 2C00082 + C00007 + Z00070 + Z00046 => 2C00355 + Z00070 + 2C00355 + Z00070 + Z00046
R00032_v1,forward,KEGG (Modified),Fe,C02094 + C00007 + Z00015 => 2C00376 + Z00015
R00033_v1,forward,KEGG (Modified),"FAD, Flavoprotein",C00378 + C00007 + Z00019 + Z00013 => C00027 + C05856 + Z00019 + Z00013
R00034_v1,reverse,KEGG (Modified),"FAD, Flavoprotein, THF (H4F)",2C08249 + Z00046 + Z00019 + Z00013 => C03103 + Z00046 + Z00019 + Z00013
R00036_v1,forward,KEGG (Modified),K,2C00430 + Z00026 => 2C00001 + C00931 + Z00026
R00036_v2,forward,KEGG (Modified),Mg,2C00430 + Z00029 => 2C00001 + C00931 + Z00029
R00036_v3,forward,KEGG (Modified),Na,2C00430 + Z00033 => 2C00001 + C00931 + Z00033
R00036_v4,forward,KEGG (Modified),Zn,2C00430 + Z00054 => 2C00001 + C00931 + Z00054
R00038_v1,forward,KEGG (Modified),Thiamine diphosphate,2C00479 + Z00047 => C02948 + Z00047
R00038_v1,reverse,KEGG (Modified),Thiamine diphosphate,C02948 + Z00047 => 2C00479 + Z00047
R00039,forward,KEGG,,2C00492 => C08242 + C00089
R00039,reverse,KEGG,,C08242 + C00089 => 2C00492
R00042_v1,forward,KEGG (Modified),Thiamine diphosphate,2C01179 + C00007 + Z00047 => 2C00642 + 2C00011 + Z00047
R00043_v1,forward,KEGG (Modified),Fe,C04547 + C00007 + Z00015 => 2C00755 + Z00015
R00044_v1,forward,KEGG (Modified),Fe,2C01795 + C00007 + Z00015 => 2C00757 + 2C00001 + Z00015
R00045_v1,forward,KEGG (Modified),"THF (H4F), Cu",2C00355 + C00007 + Z00070 + 2C00355 + C00007 + Z00070 + Z00046 => 2C00822 + 2C00001 + Z00070 + 2C00822 + 2C00001 + Z00070 + Z00046
R00048,forward,KEGG,,C04546 + C00001 => 2C01089
R00049,forward,KEGG,,2C01158 => C00031 + C04101
R00049,reverse,KEGG,,C00031 + C04101 => 2C01158
R00052_v1,reverse,KEGG (Modified),Heme,2C00001 + C01334 + Z00025 => C00027 + C01371 + C01327 + Z00025
R00052_v2,reverse,KEGG (Modified),V,2C00001 + C01334 + Z00062 => C00027 + C01371 + C01327 + Z00062
R00053,forward,KEGG,,C01572 + C00001 => 2C01424
R00054,forward,KEGG,,C02868 + C00001 => 2C01839
R00055,forward,KEGG,,2C00294 + C00007 => 2C01993 + 2C00001
R00056,forward,KEGG,,C01910 + C00001 => 2C02171
R00058_v1,forward,KEGG (Modified),"THF (H4F), Cu",2C00090 + C00007 + Z00070 + 2C00090 + C00007 + Z00070 + Z00046 => 2C02351 + 2C00001 + Z00070 + 2C02351 + 2C00001 + Z00070 + Z00046
R00059,forward,KEGG,,C01255 + C00001 => 2C02378
R00059,reverse,KEGG,,2C02378 => C01255 + C00001
R00060,forward,KEGG,,2C00495 + C00007 => 2C03036 + 2C00001
R00061,forward,KEGG,,2C00495 + C00007 => 2C03040 + 2C00001
R00062,forward,KEGG,,2C03374 => C00486 + C05787
R00062,reverse,KEGG,,C00486 + C05787 => 2C03374
R00063,forward,KEGG,,2C01175 => C04275 + C00031
R00063,reverse,KEGG,,C04275 + C00031 => 2C01175
R00066_v1,forward,KEGG (Modified),Mg,2C04332 + Z00029 => C00255 + C04732 + Z00029
R00067_v1,reverse,KEGG (Modified),"4Fe4S, Fe, Mg, Mo",C00282 + Z00015 + C01251 + Z00002 + Z00064 + Z00029 => 2C05359 + 2C00080 + Z00015 + C01251 + Z00002 + Z00064 + Z00029
R00068_v1,forward,KEGG (Modified),Cu,2C00072 + C00007 + Z00070 => 2C05422 + 2C00001 + Z00070
R00069_v1,reverse,KEGG (Modified),"2Fe2S, FAD, Fe, Flavoprotein, Molybdopterin",C03680 + C00007 + C00001 + Z00015 + Z00013 + Z00031 + Z00001 + Z00019 => C05565 + C00027 + Z00015 + Z00013 + Z00031 + Z00001 + Z00019
R00069_v2,reverse,KEGG (Modified),"FAD, Fe, Flavoprotein, Molybdopterin, Generic FeS",C03680 + C00007 + C00001 + Z00015 + Z00013 + Z00031 + Z00063 + Z00019 => C05565 + C00027 + Z00015 + Z00013 + Z00031 + Z00063 + Z00019
R00070,forward,KEGG,,2C05791 + C00007 => 2C05795 + 2C00001
R00072_v1,forward,KEGG (Modified),"FAD, Flavoprotein",C05856 + C00007 + C00001 + Z00019 + Z00013 => C00027 + C02892 + Z00019 + Z00013
R00073_v1,forward,KEGG (Modified),Heme,C00427 + C00028 + C00001 + Z00025 => C05956 + C00030 + Z00025
R00074_v1,forward,KEGG (Modified),"FAD, Flavoprotein, Mn",4C01987 + 3C00007 + Z00030 + Z00019 + Z00013 => 2C02161 + 6C00001 + Z00030 + Z00019 + Z00013
R00074_v2,forward,KEGG (Modified),"Flavoprotein, Cu",4C01987 + 3C00007 + Z00070 + Z00019 => 2C02161 + 6C00001 + Z00070 + Z00019
R00074_v3,forward,KEGG (Modified),"Flavoprotein, Mn, Riboflavin",4C01987 + 3C00007 + Z00040 + Z00019 + Z00030 => 2C02161 + 6C00001 + Z00040 + Z00019 + Z00030
R00075,forward,KEGG,,3C00019 => 3C00170 + C05324
R00075,reverse,KEGG,,3C00170 + C05324 => 3C00019
R00076_v1,forward,KEGG (Modified),Ca,4C00002 + 2C02308 + Z00055 => 4C00008 + C02307 + Z00055
R00076_v1,reverse,KEGG (Modified),Ca,4C00008 + C02307 + Z00055 => 4C00002 + 2C02308 + Z00055
R00077,forward,KEGG,,4C00001 + C02307 => 2C02308 + 4C00009
R00078_v1,forward,KEGG (Modified),"Fe, Heme, Cu",4C14818 + 4C00080 + C00007 + Z00025 + Z00070 + Z00015 => 4C14819 + 2C00001 + Z00025 + Z00070 + Z00015
R00080_v1,forward,KEGG (Modified),Cu,4C00090 + 3C00007 + Z00070 => 6C00001 + 2C03861 + Z00070
R00083_v1,forward,KEGG (Modified),Cu,4C01785 + C00007 + Z00070 => 4C05309 + 2C00001 + Z00070
R00084_v1,forward,KEGG (Modified),Dipyrromethane,4C00931 + C00001 + Z00056 => 4C00014 + C01024 + Z00056
R00085_v1,forward,KEGG (Modified),Mn,2C00001 + C00002 + Z00030 => 2C00009 + C00020 + Z00030
R00085_v2,forward,KEGG (Modified),Ca,2C00001 + C00002 + Z00055 => 2C00009 + C00020 + Z00055
R00085_v3,forward,KEGG (Modified),Mg,2C00001 + C00002 + Z00029 => 2C00009 + C00020 + Z00029
R00085_v4,forward,KEGG (Modified),M2,2C00001 + C00002 + Z00069 => 2C00009 + C00020 + Z00069
R00086_v1,forward,KEGG (Modified),"Mg, Mn",C00002 + C00001 + Z00029 + C00002 + C00001 + Z00029 + C00002 + C00001 + Z00030 => C00008 + C00009 + Z00029 + C00008 + C00009 + Z00029 + C00008 + C00009 + Z00030
R00086_v1,reverse,KEGG (Modified),"Mg, Mn",C00008 + C00009 + Z00029 + C00008 + C00009 + Z00029 + C00008 + C00009 + Z00030 => C00002 + C00001 + Z00029 + C00002 + C00001 + Z00029 + C00002 + C00001 + Z00030
R00086_v2,forward,KEGG (Modified),Ca,C00002 + C00001 + Z00055 => C00008 + C00009 + Z00055
R00086_v2,reverse,KEGG (Modified),Ca,C00008 + C00009 + Z00055 => C00002 + C00001 + Z00055
R00086_v3,forward,KEGG (Modified),Mg,C00002 + C00001 + Z00029 => C00008 + C00009 + Z00029
R00086_v3,reverse,KEGG (Modified),Mg,C00008 + C00009 + Z00029 => C00002 + C00001 + Z00029
R00086_v4,forward,KEGG (Modified),M2,C00002 + C00001 + Z00069 => C00008 + C00009 + Z00069
R00086_v4,reverse,KEGG (Modified),M2,C00008 + C00009 + Z00069 => C00002 + C00001 + Z00069
R00087_v1,forward,KEGG (Modified),"Mg, Mn",C00002 + C00001 + Z00029 + C00002 + C00001 + Z00030 => C00020 + C00013 + Z00029 + C00020 + C00013 + Z00030
R00087_v2,forward,KEGG (Modified),Mg,C00002 + C00001 + Z00029 => C00020 + C00013 + Z00029
R00087_v3,forward,KEGG (Modified),M2,C00002 + C00001 + Z00069 => C00020 + C00013 + Z00069
R00088,forward,KEGG,,C00002 + C00001 => C00081 + C00014
R00089_v1,forward,KEGG (Modified),"Mn, Pyruvoyl",C00002 + Z00039 + Z00030 => C00575 + C00013 + Z00039 + Z00030
R00089_v1,reverse,KEGG (Modified),"Mn, Pyruvoyl",C00575 + C00013 + Z00039 + Z00030 => C00002 + Z00039 + Z00030
R00089_v2,forward,KEGG (Modified),"Pyruvoyl, Ca",C00002 + Z00039 + Z00055 => C00575 + C00013 + Z00039 + Z00055
R00089_v2,reverse,KEGG (Modified),"Pyruvoyl, Ca",C00575 + C00013 + Z00039 + Z00055 => C00002 + Z00039 + Z00055
R00089_v3,forward,KEGG (Modified),"Mg, Pyruvoyl",C00002 + Z00039 + Z00029 => C00575 + C00013 + Z00039 + Z00029
R00089_v3,reverse,KEGG (Modified),"Mg, Pyruvoyl",C00575 + C00013 + Z00039 + Z00029 => C00002 + Z00039 + Z00029
R00090_v1,forward,KEGG (Modified),Fe,C00027 + C00004 + C00080 + Z00015 => 2C00001 + C00003 + Z00015
R00090_v2,forward,KEGG (Modified),"FAD, Flavoprotein",C00027 + C00004 + C00080 + Z00019 + Z00013 => 2C00001 + C00003 + Z00019 + Z00013
R00091,forward,KEGG,,2C00010 + C00003 => C02015 + C00004 + C00080
R00091,reverse,KEGG,,C02015 + C00004 + C00080 => 2C00010 + C00003
R00092_v1,reverse,KEGG (Modified),FAD,2C14819 + C00004 + C00080 + Z00013 => 2C14818 + C00003 + Z00013
R00093_v1,forward,KEGG (Modified),"FAD, FMN, Flavoprotein, 3Fe4S",2C00025 + C00003 + Z00067 + Z00014 + Z00019 + Z00013 => C00064 + C00026 + C00004 + C00080 + Z00067 + Z00014 + Z00019 + Z00013
R00093_v1,reverse,KEGG (Modified),"FAD, FMN, Flavoprotein, 3Fe4S",C00064 + C00026 + C00004 + C00080 + Z00067 + Z00014 + Z00019 + Z00013 => 2C00025 + C00003 + Z00067 + Z00014 + Z00019 + Z00013
R00094_v1,forward,KEGG (Modified),"FAD, Flavoprotein",2C00051 + C00003 + Z00019 + Z00013 => C00127 + C00004 + C00080 + Z00019 + Z00013
R00094_v1,reverse,KEGG (Modified),"FAD, Flavoprotein",C00127 + C00004 + C00080 + Z00019 + Z00013 => 2C00051 + C00003 + Z00019 + Z00013
R00095_v1,forward,KEGG (Modified),Zn,2C00072 + C00003 + Z00054 => 2C01041 + C00004 + C00080 + Z00054
R00095_v1,reverse,KEGG (Modified),Zn,2C01041 + C00004 + C00080 + Z00054 => 2C00072 + C00003 + Z00054
R00095_v2,forward,KEGG (Modified),FAD,2C00072 + C00003 + Z00013 => 2C01041 + C00004 + C00080 + Z00013
R00095_v2,reverse,KEGG (Modified),FAD,2C01041 + C00004 + C00080 + Z00013 => 2C00072 + C00003 + Z00013
R00097,forward,KEGG,,C00541 => C00992
R00097,reverse,KEGG,,C00992 => C00541
R00099,forward,KEGG,,2C00853 + C00003 => 2C00541 + C00004 + C00080
R00099,reverse,KEGG,,2C00541 + C00004 + C00080 => 2C00853 + C00003
R00100_v1,forward,KEGG (Modified),"FAD, Flavoprotein",2C00996 + C00004 + Z00019 + Z00013 => 2C00999 + C00003 + C00080 + Z00019 + Z00013
R00100_v1,reverse,KEGG (Modified),"FAD, Flavoprotein",2C00999 + C00003 + C00080 + Z00019 + Z00013 => 2C00996 + C00004 + Z00019 + Z00013
R00101_v1,forward,KEGG (Modified),FAD,2C02683 + C00004 + Z00013 => 2C02685 + C00003 + C00080 + Z00013
R00101_v1,reverse,KEGG (Modified),FAD,2C02685 + C00003 + C00080 + Z00013 => 2C02683 + C00004 + Z00013
R00102,forward,KEGG,,C00003 + C00001 => C00153 + C00301
R00103_v1,forward,KEGG (Modified),Mn,C00003 + C00001 + Z00030 + C00003 + C00001 + Z00030 => C00020 + C00455 + Z00030 + C00020 + C00455 + Z00030
R00103_v2,forward,KEGG (Modified),Mg,C00003 + C00001 + Z00029 => C00020 + C00455 + Z00029
R00103_v3,forward,KEGG (Modified),M2,C00003 + C00001 + Z00069 => C00020 + C00455 + Z00069
R00104_v1,forward,KEGG (Modified),Mn,C00002 + C00003 + Z00030 => C00008 + C00006 + Z00030
R00104_v1,reverse,KEGG (Modified),Mn,C00008 + C00006 + Z00030 => C00002 + C00003 + Z00030
R00104_v2,forward,KEGG (Modified),Ca,C00002 + C00003 + Z00055 => C00008 + C00006 + Z00055
R00104_v2,reverse,KEGG (Modified),Ca,C00008 + C00006 + Z00055 => C00002 + C00003 + Z00055
R00104_v3,forward,KEGG (Modified),Mg,C00002 + C00003 + Z00029 => C00008 + C00006 + Z00029
R00104_v3,reverse,KEGG (Modified),Mg,C00008 + C00006 + Z00029 => C00002 + C00003 + Z00029
R00104_v4,forward,KEGG (Modified),M2,C00002 + C00003 + Z00069 => C00008 + C00006 + Z00069
R00104_v4,reverse,KEGG (Modified),M2,C00008 + C00006 + Z00069 => C00002 + C00003 + Z00069
R00105_v1,forward,KEGG (Modified),Ca,C00002 + C00004 + Z00055 => C00008 + C00005 + Z00055
R00105_v1,reverse,KEGG (Modified),Ca,C00008 + C00005 + Z00055 => C00002 + C00004 + Z00055
R00106_v1,forward,KEGG (Modified),"FAD, FMN",2C00923 + C00005 + Z00014 + Z00013 => 2C00924 + C00006 + C00080 + Z00014 + Z00013
R00106_v1,reverse,KEGG (Modified),"FAD, FMN",2C00924 + C00006 + C00080 + Z00014 + Z00013 => 2C00923 + C00005 + Z00014 + Z00013
R00108_v1,forward,KEGG (Modified),"FAD, Flavoprotein",2C00997 + C00005 + Z00019 + Z00013 => 2C01000 + C00006 + C00080 + Z00019 + Z00013
R00108_v1,reverse,KEGG (Modified),"FAD, Flavoprotein",2C01000 + C00006 + C00080 + Z00019 + Z00013 => 2C00997 + C00005 + Z00019 + Z00013
R00109_v1,forward,KEGG (Modified),FAD,2C02683 + C00005 + Z00013 => 2C02685 + C00006 + C00080 + Z00013
R00109_v1,reverse,KEGG (Modified),FAD,2C02685 + C00006 + C00080 + Z00013 => 2C02683 + C00005 + Z00013
R00111_v1,forward,KEGG (Modified),"2Fe2S, Heme, THB",2C05933 + 2C00007 + C00005 + C00080 + Z00025 + Z00045 + Z00001 => 2C00533 + 2C00327 + 2C00001 + C00006 + Z00025 + Z00045 + Z00001
R00111_v2,forward,KEGG (Modified),"FAD, FMN, Heme, THB",2C05933 + 2C00007 + C00005 + C00080 + Z00025 + Z00014 + Z00013 + Z00045 => 2C00533 + 2C00327 + 2C00001 + C00006 + Z00025 + Z00014 + Z00013 + Z00045
R00112_v1,forward,KEGG (Modified),"FAD, Flavoprotein",C00005 + C00003 + Z00019 + Z00013 => C00006 + C00004 + Z00019 + Z00013
R00112_v1,reverse,KEGG (Modified),"FAD, Flavoprotein",C00006 + C00004 + Z00019 + Z00013 => C00005 + C00003 + Z00019 + Z00013
R00113,forward,KEGG,,C00027 + C00005 + C00080 => 2C00001 + C00006
R00114_v1,forward,KEGG (Modified),"4Fe4S, FAD, FMN, 3Fe4S",2C00025 + C00006 + Z00067 + Z00002 + Z00014 + Z00013 => C00064 + C00026 + C00005 + C00080 + Z00067 + Z00002 + Z00014 + Z00013
R00114_v1,reverse,KEGG (Modified),"4Fe4S, FAD, FMN, 3Fe4S",C00064 + C00026 + C00005 + C00080 + Z00067 + Z00002 + Z00014 + Z00013 => 2C00025 + C00006 + Z00067 + Z00002 + Z00014 + Z00013
R00115_v1,forward,KEGG (Modified),"FAD, Flavoprotein",2C00051 + C00006 + Z00019 + Z00013 => C00127 + C00005 + C00080 + Z00019 + Z00013
R00115_v1,reverse,KEGG (Modified),"FAD, Flavoprotein",C00127 + C00005 + C00080 + Z00019 + Z00013 => 2C00051 + C00006 + Z00019 + Z00013
R00118,forward,KEGG,,C00006 + C00001 => C00009 + C00003
R00118,reverse,KEGG,,C00009 + C00003 => C00006 + C00001
R00119,forward,KEGG,,C00006 + C00253 => C00153 + C13051
R00119,reverse,KEGG,,C00153 + C13051 => C00006 + C00253
R00120_v1,forward,KEGG (Modified),"FAD, Flavoprotein",2C00051 + C00007 + Z00019 + Z00013 => C00127 + C00027 + Z00019 + Z00013
R00122_v1,forward,KEGG (Modified),Mn,C00008 + C00001 + Z00030 => C00020 + C00009 + Z00030
R00122_v1,reverse,KEGG (Modified),Mn,C00020 + C00009 + Z00030 => C00008 + C00001 + Z00030
R00122_v2,forward,KEGG (Modified),Ca,C00008 + C00001 + Z00055 => C00020 + C00009 + Z00055
R00122_v2,reverse,KEGG (Modified),Ca,C00020 + C00009 + Z00055 => C00008 + C00001 + Z00055
R00122_v3,forward,KEGG (Modified),Mg,C00008 + C00001 + Z00029 => C00020 + C00009 + Z00029
R00122_v3,reverse,KEGG (Modified),Mg,C00020 + C00009 + Z00029 => C00008 + C00001 + Z00029
R00122_v4,forward,KEGG (Modified),M2,C00008 + C00001 + Z00069 => C00020 + C00009 + Z00069
R00122_v4,reverse,KEGG (Modified),M2,C00020 + C00009 + Z00069 => C00008 + C00001 + Z00069
R00123,forward,KEGG,,C00008 + C00001 => C00104 + C00014
R00124_v1,forward,KEGG (Modified),Mg,C00002 + C00008 + Z00029 => C00008 + C00002 + Z00029
R00124_v1,reverse,KEGG (Modified),Mg,C00008 + C00002 + Z00029 => C00002 + C00008 + Z00029
R00125,forward,KEGG,,C01260 + C00001 => 2C00008
R00126_v1,forward,KEGG (Modified),Mg,C00008 + C00002 + Z00029 => C00009 + C01260 + Z00029
R00126_v1,reverse,KEGG (Modified),Mg,C00009 + C01260 + Z00029 => C00008 + C00002 + Z00029
R00126_v2,forward,KEGG (Modified),M2,C00008 + C00002 + Z00069 => C00009 + C01260 + Z00069
R00126_v2,reverse,KEGG (Modified),M2,C00009 + C01260 + Z00069 => C00008 + C00002 + Z00069
R00127,forward,KEGG,,C00002 + C00020 => 2C00008
R00127,reverse,KEGG,,2C00008 => C00002 + C00020
R00128,forward,KEGG,,C03483 + C00001 => C00002 + C00009
R00129_v1,forward,KEGG (Modified),Mg,C00002 + C04856 + Z00029 => C00008 + C00009 + C00004 + Z00029
