reaction,direction,reaction_def
R00405_v2,forward,C00002 + C00042 + C00010 + Z00029 => C00008 + C00009 + C00091 + Z00029
R00405_v2,reverse,C00008 + C00009 + C00091 + Z00029 => C00002 + C00042 + C00010 + Z00029
R00406,forward,C00091 + C00149 => C00042 + C04348
R00406,reverse,C00042 + C04348 => C00091 + C00149
R00407,forward,C00091 + C00001 => C00010 + C00042
R00407,reverse,C00010 + C00042 => C00091 + C00001
R00408,forward,C00042 + C00016 => C01352 + C00122
R00408,reverse,C01352 + C00122 => C00042 + C00016
R00409_v1,forward,C04593 + Z00032 + Z00029 => C00022 + C00042 + Z00032 + Z00029
R00409_v1,reverse,C00022 + C00042 + Z00032 + Z00029 => C04593 + Z00032 + Z00029
R00410,forward,C00091 + C00164 => C00042 + C00332
R00410,reverse,C00042 + C00332 => C00091 + C00164
R00411_v1,forward,C05931 + C00001 + Z00006 + Z00054 => C00025 + C00042 + Z00006 + Z00054
R00411_v1,reverse,C00025 + C00042 + Z00006 + Z00054 => C05931 + C00001 + Z00006 + Z00054
R00412,forward,C00042 + C00028 => C00122 + C00030
R00414,forward,C00043 + C00001 => C00645 + C00015
R00414,reverse,C00645 + C00015 => C00043 + C00001
R00416_v1,forward,C00075 + C04501 + Z00006 => C00013 + C00043 + Z00006
R00416_v1,reverse,C00013 + C00043 + Z00006 => C00075 + C04501 + Z00006
R00416_v2,forward,C00075 + C04501 + Z00030 => C00013 + C00043 + Z00030
R00416_v2,reverse,C00013 + C00043 + Z00030 => C00075 + C04501 + Z00030
R00416_v3,forward,C00075 + C04501 + Z00055 => C00013 + C00043 + Z00055
R00416_v3,reverse,C00013 + C00043 + Z00055 => C00075 + C04501 + Z00055
R00416_v4,forward,C00075 + C04501 + Z00029 => C00013 + C00043 + Z00029
R00416_v4,reverse,C00013 + C00043 + Z00029 => C00075 + C04501 + Z00029
R00417,forward,C00043 + C03021 => C00015 + C04375
R00418_v1,forward,C00043 + Z00032 + C00043 + Z00032 => C00203 + Z00032 + C00203 + Z00032
R00418_v1,reverse,C00203 + Z00032 + C00203 + Z00032 => C00043 + Z00032 + C00043 + Z00032
R00420,forward,C00043 => C01170
R00420,reverse,C01170 => C00043
R00421,forward,2C00003 + C00043 + C00001 => 2C00004 + 2C00080 + C04573
R00421,reverse,2C00004 + 2C00080 + C04573 => 2C00003 + C00043 + C00001
R00422,forward,C00043 => C05005
R00424,forward,C00044 + C00001 => C04895 + C00058
R00425_v1,forward,3C00001 + C00044 + Z00054 => C00058 + C01304 + C00013 + Z00054
R00426_v1,forward,C00044 + C00001 + Z00030 => C00144 + C00013 + Z00030
R00426_v2,forward,C00044 + C00001 + Z00029 => C00144 + C00013 + Z00029
R00426_v3,forward,C00044 + C00001 + Z00069 => C00144 + C00013 + Z00069
R00428,forward,C00044 + C00001 => C05922
R00428,reverse,C05922 => C00044 + C00001
R00429_v1,forward,C00002 + C00044 + Z00030 => C00020 + C04494 + Z00030
R00429_v1,reverse,C00020 + C04494 + Z00030 => C00002 + C00044 + Z00030
R00430_gGTP_v1,forward,C00022 + C00013 + Z00069 => C00074 + C00009 + Z00069
R00430_gGTP_v1,reverse,C00074 + C00009 + Z00069 => C00022 + C00013 + Z00069
R00430_gGTP_v2,forward,C00022 + C00013 + Z00026 + Z00029 => C00074 + C00009 + Z00026 + Z00029
R00430_gGTP_v2,reverse,C00074 + C00009 + Z00026 + Z00029 => C00022 + C00013 + Z00026 + Z00029
R00430_v1,forward,C00044 + C00022 + Z00069 => C00035 + C00074 + Z00069
R00430_v1,reverse,C00035 + C00074 + Z00069 => C00044 + C00022 + Z00069
R00430_v2,forward,C00044 + C00022 + Z00026 + Z00029 => C00035 + C00074 + Z00026 + Z00029
R00430_v2,reverse,C00035 + C00074 + Z00026 + Z00029 => C00044 + C00022 + Z00026 + Z00029
R00431_v1,forward,C00044 + C00036 + Z00030 => C00035 + C00074 + C00011 + Z00030
R00431_v1,reverse,C00035 + C00074 + C00011 + Z00030 => C00044 + C00036 + Z00030
R00432_v1,forward,C00044 + C00042 + C00010 + Z00029 => C00035 + C00009 + C00091 + Z00029
R00432_v1,reverse,C00035 + C00009 + C00091 + Z00029 => C00044 + C00042 + C00010 + Z00029
R00434_v1,forward,C00044 + Z00030 + C00044 + Z00039 + Z00030 => C00942 + C00013 + Z00030 + C00942 + C00013 + Z00039 + Z00030
R00434_v1,reverse,C00942 + C00013 + Z00030 + C00942 + C00013 + Z00039 + Z00030 => C00044 + Z00030 + C00044 + Z00039 + Z00030
R00434_v2,forward,C00044 + Z00025 + C00044 + Z00039 + Z00055 => C00942 + C00013 + Z00025 + C00942 + C00013 + Z00039 + Z00055
R00434_v2,reverse,C00942 + C00013 + Z00025 + C00942 + C00013 + Z00039 + Z00055 => C00044 + Z00025 + C00044 + Z00039 + Z00055
R00434_v3,forward,C00044 + Z00029 + C00044 + Z00039 + Z00029 => C00942 + C00013 + Z00029 + C00942 + C00013 + Z00039 + Z00029
R00434_v3,reverse,C00942 + C00013 + Z00029 + C00942 + C00013 + Z00039 + Z00029 => C00044 + Z00029 + C00044 + Z00039 + Z00029
R00436_v1,forward,C00002 + C00046 + Z00030 => C00020 + C00013 + C02073 + Z00030
R00436_v1,reverse,C00020 + C00013 + C02073 + Z00030 => C00002 + C00046 + Z00030
R00436_v2,forward,C00002 + C00046 + Z00029 => C00020 + C00013 + C02073 + Z00029
R00436_v2,reverse,C00020 + C00013 + C02073 + Z00029 => C00002 + C00046 + Z00029
R00444_v1,forward,C00201 + C00046 + Z00015 + C00201 + C00046 + Z00054 => C00013 + C00046 + Z00015 + C00013 + C00046 + Z00054
R00444_v1,reverse,C00013 + C00046 + Z00015 + C00013 + C00046 + Z00054 => C00201 + C00046 + Z00015 + C00201 + C00046 + Z00054
R00444_v2,forward,C00201 + C00046 + Z00030 + C00201 + C00046 + Z00002 => C00013 + C00046 + Z00030 + C00013 + C00046 + Z00002
R00444_v2,reverse,C00013 + C00046 + Z00030 + C00013 + C00046 + Z00002 => C00201 + C00046 + Z00030 + C00201 + C00046 + Z00002
R00444_v3,forward,C00201 + C00046 + Z00029 + C00201 + C00046 + Z00069 => C00013 + C00046 + Z00029 + C00013 + C00046 + Z00069
R00444_v3,reverse,C00013 + C00046 + Z00029 + C00013 + C00046 + Z00069 => C00201 + C00046 + Z00029 + C00201 + C00046 + Z00069
R00444_v4,forward,C00201 + C00046 + Z00030 => C00013 + C00046 + Z00030
R00444_v4,reverse,C00013 + C00046 + Z00030 => C00201 + C00046 + Z00030
R00444_v5,forward,C00201 + C00046 + Z00029 => C00013 + C00046 + Z00029
R00444_v5,reverse,C00013 + C00046 + Z00029 => C00201 + C00046 + Z00029
R00445,forward,C00047 + C00003 => C04092 + C00014 + C00004 + C00080
R00445,reverse,C04092 + C00014 + C00004 + C00080 => C00047 + C00003
R00446,forward,C00047 + C00003 + C00001 => C04076 + C00004 + C00014 + C00080
R00446,reverse,C04076 + C00004 + C00014 + C00080 => C00047 + C00003 + C00001
R00447_v1,forward,C00047 + C00007 + C00001 + Z00013 => C03239 + C00014 + C00027 + Z00013
R00448_v1,forward,C00047 + C00007 + C00005 + C00080 + Z00019 + Z00013 => C01028 + C00006 + C00001 + Z00019 + Z00013
R00449_v1,forward,C00047 + C00007 + Z00019 + Z00013 => C00990 + C00011 + C00001 + Z00019 + Z00013
R00451_v1,forward,C00680 + Z00035 => C00047 + C00011 + Z00035
R00451_v1,reverse,C00047 + C00011 + Z00035 => C00680 + Z00035
R00452,forward,C04020 + C00006 + C00001 => C00047 + C00022 + C00005 + C00080
R00452,reverse,C00047 + C00022 + C00005 + C00080 => C04020 + C00006 + C00001
R00453_v1,forward,C00047 + C00022 + Z00035 => C04076 + C00041 + Z00035
R00453_v1,reverse,C04076 + C00041 + Z00035 => C00047 + C00022 + Z00035
R00454,forward,C00047 + C00024 => C02727 + C00010
R00454,reverse,C02727 + C00010 => C00047 + C00024
R00457_v1,forward,C00047 + C00026 + Z00035 => C04076 + C00025 + Z00035
R00457_v1,reverse,C04076 + C00025 + Z00035 => C00047 + C00026 + Z00035
R00458,forward,C02727 + C00001 => C00033 + C00047
R00458,reverse,C00033 + C00047 => C02727 + C00001
R00459,forward,C00047 => C00408
R00460_v1,forward,C00047 + Z00035 + C00047 + Z00035 => C00739 + Z00035 + C00739 + Z00035
R00460_v1,reverse,C00739 + Z00035 + C00739 + Z00035 => C00047 + Z00035 + C00047 + Z00035
R00461_v1,forward,C00047 + Z00041 + Z00035 + Z00002 => C01142 + Z00041 + Z00035 + Z00002
R00461_v1,reverse,C01142 + Z00041 + Z00035 + Z00002 => C00047 + Z00041 + Z00035 + Z00002
R00461_v2,forward,C00047 + Z00041 + Z00035 + Z00063 => C01142 + Z00041 + Z00035 + Z00063
R00461_v2,reverse,C01142 + Z00041 + Z00035 + Z00063 => C00047 + Z00041 + Z00035 + Z00063
R00462_v1,forward,C00047 + Z00035 => C01672 + C00011 + Z00035
R00462_v1,reverse,C01672 + C00011 + Z00035 => C00047 + Z00035
R00463,forward,C02837 + C00001 => C00047
R00463,reverse,C00047 => C02837 + C00001
R00465,forward,C00160 + C00006 => C00048 + C00005 + C00080
R00465,reverse,C00048 + C00005 + C00080 => C00160 + C00006
R00466,forward,C00048 + C00007 + C00001 => C00209 + C00027
R00468,forward,C00048 + C00010 + C00006 => C00313 + C00005 + C00080
R00468,reverse,C00313 + C00005 + C00080 => C00048 + C00010 + C00006
R00469_v1,forward,C00603 + C00001 + Z00006 => 2C00014 + C00048 + C00011 + Z00006
R00470_v1,forward,C01127 + Z00029 => C00022 + C00048 + Z00029
R00470_v1,reverse,C00022 + C00048 + Z00029 => C01127 + Z00029
R00471_v1,forward,C05946 + Z00029 => C00022 + C00048 + Z00029
R00471_v1,reverse,C00022 + C00048 + Z00029 => C05946 + Z00029
R00472_v1,forward,C00149 + C00010 + Z00030 => C00024 + C00001 + C00048 + Z00030
R00472_v1,reverse,C00024 + C00001 + C00048 + Z00030 => C00149 + C00010 + Z00030
R00472_v2,forward,C00149 + C00010 + Z00029 => C00024 + C00001 + C00048 + Z00029
R00472_v2,reverse,C00024 + C00001 + C00048 + Z00029 => C00149 + C00010 + Z00029
R00473_v1,forward,C04348 + Z00030 => C00024 + C00048 + Z00030
R00473_v1,reverse,C00024 + C00048 + Z00030 => C04348 + Z00030
R00474_v1,forward,C03217 + C00011 + Z00047 + Z00029 => C00026 + C00048 + Z00047 + Z00029
R00474_v1,reverse,C00026 + C00048 + Z00047 + Z00029 => C03217 + C00011 + Z00047 + Z00029
R00475_v1,forward,C00160 + C00007 + Z00014 + Z00019 => C00048 + C00027 + Z00014 + Z00019
R00476_v1,forward,C00160 + C00028 + Z00002 => C00048 + C00030 + Z00002
R00476_v2,forward,C00160 + C00028 + Z00013 => C00048 + C00030 + Z00013
R00477,forward,C01990 => C00036 + C00048
R00477,reverse,C00036 + C00048 => C01990
R00478_v1,forward,C03961 + Z00069 + Z00035 => C00037 + C00048 + Z00069 + Z00035
R00478_v1,reverse,C00037 + C00048 + Z00069 + Z00035 => C03961 + Z00069 + Z00035
R00479_v1,forward,C00311 + Z00029 => C00042 + C00048 + Z00029
R00479_v1,reverse,C00042 + C00048 + Z00029 => C00311 + Z00029
R00480,forward,C00002 + C00049 => C00008 + C03082
R00480,reverse,C00008 + C03082 => C00002 + C00049
R00481_v1,forward,C00049 + C00007 + Z00019 + Z00013 => C05840 + C00027 + Z00019 + Z00013
R00482,forward,C00002 + C00049 + C00014 => C00008 + C00009 + C00152
R00482,reverse,C00008 + C00009 + C00152 => C00002 + C00049 + C00014
R00483,forward,C00002 + C00049 + C00014 => C00020 + C00013 + C00152
R00483,reverse,C00020 + C00013 + C00152 => C00002 + C00049 + C00014
R00484,forward,C00438 + C00001 => C00049 + C00011 + C00014
R00485,forward,C00152 + C00001 => C00049 + C00014
R00485,reverse,C00049 + C00014 => C00152 + C00001
R00486,forward,2C00001 + C02512 => C00049 + C00014
R00486,reverse,C00049 + C00014 => 2C00001 + C02512
R00487,forward,C00024 + C00049 => C00010 + C01042
R00487,reverse,C00010 + C01042 => C00024 + C00049
R00488_v1,forward,C01042 + C00001 + Z00054 => C00033 + C00049 + Z00054
R00488_v1,reverse,C00033 + C00049 + Z00054 => C01042 + C00001 + Z00054
R00489_v1,forward,C00049 + Z00035 + C00049 + Z00035 => C00099 + C00011 + Z00035 + C00099 + C00011 + Z00035
R00489_v1,reverse,C00099 + C00011 + Z00035 + C00099 + C00011 + Z00035 => C00049 + Z00035 + C00049 + Z00035
R00489_v2,forward,C00049 + Z00039 => C00099 + C00011 + Z00039
R00489_v2,reverse,C00099 + C00011 + Z00039 => C00049 + Z00039
R00490,forward,C00049 => C00122 + C00014
R00490,reverse,C00122 + C00014 => C00049
R00491_v1,forward,C00049 + Z00035 => C00402 + Z00035
R00491_v1,reverse,C00402 + Z00035 => C00049 + Z00035
R00493,forward,C00049 + C00161 => C05167 + C00036
R00494,forward,C00051 + C00001 => C01419 + C00025
R00494,reverse,C01419 + C00025 => C00051 + C00001
R00497_v1,forward,C00002 + C00669 + C00037 + Z00030 => C00008 + C00009 + C00051 + Z00030
R00497_v1,reverse,C00008 + C00009 + C00051 + Z00030 => C00002 + C00669 + C00037 + Z00030
R00497_v2,forward,C00002 + C00669 + C00037 + Z00029 => C00008 + C00009 + C00051 + Z00029
R00497_v2,reverse,C00008 + C00009 + C00051 + Z00029 => C00002 + C00669 + C00037 + Z00029
R00499,forward,C03174 + C00001 => C00051 + C00042
R00501,forward,2C00003 + C00052 + C00001 => 2C00004 + 2C00080 + C00617
R00501,reverse,2C00004 + 2C00080 + C00617 => 2C00003 + C00052 + C00001
R00502_v1,forward,C00075 + C00446 + Z00030 => C00013 + C00052 + Z00030
R00502_v1,reverse,C00013 + C00052 + Z00030 => C00075 + C00446 + Z00030
R00502_v2,forward,C00075 + C00446 + Z00029 => C00013 + C00052 + Z00029
R00502_v2,reverse,C00013 + C00052 + Z00029 => C00075 + C00446 + Z00029
R00503,forward,C00052 + C00031 => C00015 + C00243
R00503,reverse,C00015 + C00243 => C00052 + C00031
R00504,reverse,C00105 + C04739 => C00052 + C00043
R00505_v1,forward,C00052 + Z00032 + Z00019 + Z00013 => C03733 + Z00032 + Z00019 + Z00013
R00505_v1,reverse,C03733 + Z00032 + Z00019 + Z00013 => C00052 + Z00032 + Z00019 + Z00013
R00506,reverse,C05796 + C00015 => C00052 + C05796
R00507_v1,forward,C00053 + C00001 + Z00030 => C00059 + C00054 + Z00030
R00508_v1,forward,C00053 + C00001 + Z00030 => C00224 + C00009 + Z00030
R00508_v1,reverse,C00224 + C00009 + Z00030 => C00053 + C00001 + Z00030
R00508_v2,forward,C00053 + C00001 + Z00029 => C00224 + C00009 + Z00029
R00508_v2,reverse,C00224 + C00009 + Z00029 => C00053 + C00001 + Z00029
R00509,forward,C00002 + C00224 => C00008 + C00053
R00509,reverse,C00008 + C00053 => C00002 + C00224
R00510,forward,C00055 + C00001 => C00380 + C00117
R00510,reverse,C00380 + C00117 => C00055 + C00001
R00511_v1,forward,C00055 + C00001 + Z00029 + C00055 + C00001 + Z00054 => C00475 + C00009 + Z00029 + C00475 + C00009 + Z00054
R00511_v1,reverse,C00475 + C00009 + Z00029 + C00475 + C00009 + Z00054 => C00055 + C00001 + Z00029 + C00055 + C00001 + Z00054
R00511_v2,forward,C00055 + C00001 + Z00006 => C00475 + C00009 + Z00006
R00511_v2,reverse,C00475 + C00009 + Z00006 => C00055 + C00001 + Z00006
R00511_v3,forward,C00055 + C00001 + Z00069 => C00475 + C00009 + Z00069
R00511_v3,reverse,C00475 + C00009 + Z00069 => C00055 + C00001 + Z00069
R00511_v4,forward,C00055 + C00001 + Z00030 => C00475 + C00009 + Z00030
R00511_v4,reverse,C00475 + C00009 + Z00030 => C00055 + C00001 + Z00030
R00511_v5,forward,C00055 + C00001 + Z00029 => C00475 + C00009 + Z00029
R00511_v5,reverse,C00475 + C00009 + Z00029 => C00055 + C00001 + Z00029
R00512_v1,forward,C00002 + C00055 + Z00029 => C00008 + C00112 + Z00029
R00512_v1,reverse,C00008 + C00112 + Z00029 => C00002 + C00055 + Z00029
R00513_v1,forward,C00002 + C00475 + Z00029 + C00002 + C00475 + Z00030 => C00008 + C00055 + Z00029 + C00008 + C00055 + Z00030
R00513_v1,reverse,C00008 + C00055 + Z00029 + C00008 + C00055 + Z00030 => C00002 + C00475 + Z00029 + C00002 + C00475 + Z00030
R00513_v2,forward,C00002 + C00475 + Z00029 => C00008 + C00055 + Z00029
R00513_v2,reverse,C00008 + C00055 + Z00029 => C00002 + C00475 + Z00029
R00514_v1,forward,C00112 + C00001 + Z00030 => C00055 + C00009 + Z00030
R00514_v2,forward,C00112 + C00001 + Z00055 => C00055 + C00009 + Z00055
R00514_v3,forward,C00112 + C00001 + Z00029 => C00055 + C00009 + Z00029
R00514_v4,forward,C00112 + C00001 + Z00069 => C00055 + C00009 + Z00069
R00515_v1,forward,C00063 + C00001 + Z00030 + C00063 + C00001 + Z00030 => C00055 + C00013 + Z00030 + C00055 + C00013 + Z00030
R00515_v2,forward,C00063 + C00001 + Z00029 => C00055 + C00013 + Z00029
R00515_v3,forward,C00063 + C00001 + Z00069 => C00055 + C00013 + Z00069
R00516,forward,C00075 + C00475 => C00015 + C00055
R00516,reverse,C00015 + C00055 => C00075 + C00475
R00517_v1,forward,C00044 + C00475 + Z00029 => C00035 + C00055 + Z00029
R00517_v1,reverse,C00035 + C00055 + Z00029 => C00044 + C00475 + Z00029
R00518,forward,C00002 + C00058 => C00008 + C02405
R00518,reverse,C00008 + C02405 => C00002 + C00058
R00519_v1,forward,C00058 + C00003 + Z00002 + Z00064 => C00080 + C00011 + C00004 + Z00002 + Z00064
R00519_v1,reverse,C00080 + C00011 + C00004 + Z00002 + Z00064 => C00058 + C00003 + Z00002 + Z00064
R00521,forward,C00798 + C00001 => C00010 + C00058
R00521,reverse,C00010 + C00058 => C00798 + C00001
R00522_v1,forward,C00209 + Z00030 => C00058 + C00011 + Z00030
R00522_v1,reverse,C00058 + C00011 + Z00030 => C00209 + Z00030
R00524,forward,C00488 + C00001 => C00058 + C00014
R00525,forward,C01045 + C00001 => C00058 + C00025
R00526_v1,forward,C01044 + C00001 + Z00054 => C00058 + C00049 + Z00054
R00527,forward,C01031 + C00001 => C00058 + C00051
R00527,reverse,C00058 + C00051 => C01031 + C00001
R00528_v1,forward,2C00125 + C00094 + C00001 + Z00025 + Z00031 => 2C00126 + 2C00080 + C00059 + Z00025 + Z00031
R00529_v1,forward,C00002 + C00059 + Z00029 => C00013 + C00224 + Z00029
R00529_v1,reverse,C00013 + C00224 + Z00029 => C00002 + C00059 + Z00029
R00530,forward,C00008 + C00059 => C00009 + C00224
R00530,reverse,C00009 + C00224 => C00008 + C00059
R00531,forward,C00224 + C00001 => C00020 + C00059
R00532,reverse,C00022 + C00014 + C00059 => C02703 + C00001
R00533_v1,forward,C00094 + C00007 + C00001 + Z00025 + Z00064 + Z00031 => C00059 + C00027 + Z00025 + Z00064 + Z00031
R00534,reverse,C00031 + C00059 => C02827 + C00001
R00535,forward,C00053 + C00951 => C00054 + C08357
R00536,forward,C00053 + C05299 => C00054 + C08358
R00537,forward,C00053 + C05302 => C00054 + C08359
R00538,forward,C00071 + C00003 + C00001 => C00060 + C00004 + C00080
R00538,reverse,C00060 + C00004 + C00080 => C00071 + C00003 + C00001
R00539,forward,C02133 + C00001 => C00060 + C00009
R00540,forward,2C00001 + C00726 => C00060 + C00014
R00540,reverse,C00060 + C00014 => 2C00001 + C00726
R00542,reverse,C00020 + C00060 => C03361 + C00001
R00543_v1,forward,C02119 + C00001 + Z00030 => C00060 + C00022 + Z00030
R00543_v1,reverse,C00060 + C00022 + Z00030 => C02119 + C00001 + Z00030
R00545,reverse,C00060 + C00047 => C02444 + C00001
R00546_v1,reverse,C00060 + C00049 + Z00054 => C02715 + C00001 + Z00054
R00547,reverse,C00060 + C00051 => C02589 + C00001
R00548_v1,forward,C00061 + C00001 + Z00029 + C00061 + C00001 + Z00015 => C00255 + C00009 + Z00029 + C00255 + C00009 + Z00015
R00548_v1,reverse,C00255 + C00009 + Z00029 + C00255 + C00009 + Z00015 => C00061 + C00001 + Z00029 + C00061 + C00001 + Z00015
R00548_v2,forward,C00061 + C00001 + Z00070 => C00255 + C00009 + Z00070
R00548_v2,reverse,C00255 + C00009 + Z00070 => C00061 + C00001 + Z00070
R00548_v3,forward,C00061 + C00001 + Z00029 => C00255 + C00009 + Z00029
R00548_v3,reverse,C00255 + C00009 + Z00029 => C00061 + C00001 + Z00029
R00548_v4,forward,C00061 + C00001 + Z00054 => C00255 + C00009 + Z00054
R00548_v4,reverse,C00255 + C00009 + Z00054 => C00061 + C00001 + Z00054
R00549_v1,forward,C00002 + C00255 + Z00030 => C00008 + C00061 + Z00030
R00549_v1,reverse,C00008 + C00061 + Z00030 => C00002 + C00255 + Z00030
R00549_v2,forward,C00002 + C00255 + Z00069 => C00008 + C00061 + Z00069
R00549_v2,reverse,C00008 + C00061 + Z00069 => C00002 + C00255 + Z00069
R00549_v3,forward,C00002 + C00255 + Z00029 => C00008 + C00061 + Z00029
R00549_v3,reverse,C00008 + C00061 + Z00029 => C00002 + C00255 + Z00029
R00549_v4,forward,C00002 + C00255 + Z00054 => C00008 + C00061 + Z00054
R00549_v4,reverse,C00008 + C00061 + Z00054 => C00002 + C00255 + Z00054
R00550_v1,forward,C00103 + C00255 + Z00013 => C00031 + C00061 + Z00013
R00550_v1,reverse,C00031 + C00061 + Z00013 => C00103 + C00255 + Z00013
R00551_v1,forward,C00062 + C00001 + Z00030 => C00077 + C00086 + Z00030
R00552,forward,C00062 + C00001 => C00327 + C00014
R00554_v1,forward,C00002 + C00062 + Z00069 => C00008 + C05945 + Z00069
R00554_v1,reverse,C00008 + C05945 + Z00069 => C00002 + C00062 + Z00069
R00555,forward,C00003 + C00613 => C00153 + C16011
R00557_v1,forward,2C00062 + 4C00007 + 3C00005 + 3C00080 + Z00025 + Z00045 + Z00001 => 2C00533 + 2C00327 + 3C00006 + 4C00001 + Z00025 + Z00045 + Z00001
R00557_v2,forward,2C00062 + 4C00007 + 3C00005 + 3C00080 + Z00025 + Z00014 + Z00013 + Z00045 => 2C00533 + 2C00327 + 3C00006 + 4C00001 + Z00025 + Z00014 + Z00013 + Z00045
R00558_v1,forward,C00062 + C00007 + C00005 + C00080 + Z00025 + Z00045 + Z00001 => C05933 + C00006 + C00001 + Z00025 + Z00045 + Z00001
R00558_v2,forward,C00062 + C00007 + C00005 + C00080 + Z00025 + Z00014 + Z00013 + Z00045 => C05933 + C00006 + C00001 + Z00025 + Z00014 + Z00013 + Z00045
R00559_v1,forward,C00062 + C00007 + Z00019 + Z00013 => C03078 + C00011 + C00001 + Z00019 + Z00013
R00562,forward,C04137 + C00003 + C00001 => C00062 + C00022 + C00004 + C00080
R00562,reverse,C00062 + C00022 + C00004 + C00080 => C04137 + C00003 + C00001
R00563,forward,C01682 + C00006 + C00001 => C00062 + C00026 + C00005 + C00080
R00563,reverse,C00062 + C00026 + C00005 + C00080 => C01682 + C00006 + C00001
R00565,forward,C00062 + C00037 => C00077 + C00581
R00565,reverse,C00077 + C00581 => C00062 + C00037
R00566_v1,forward,C00062 + Z00035 => C00179 + C00011 + Z00035
R00566_v1,reverse,C00179 + C00011 + Z00035 => C00062 + Z00035
R00566_v2,forward,C00062 + Z00039 => C00179 + C00011 + Z00039
R00566_v2,reverse,C00179 + C00011 + Z00039 => C00062 + Z00039
R00567_v1,forward,C00062 + Z00035 + C00062 + Z00035 => C00792 + Z00035 + C00792 + Z00035
R00567_v1,reverse,C00792 + Z00035 + C00792 + Z00035 => C00062 + Z00035 + C00062 + Z00035
R00568,forward,C00063 + C00001 => C00075 + C00014
R00568,reverse,C00075 + C00014 => C00063 + C00001
R00569_v1,forward,C00063 + C00001 + Z00030 => C00112 + C00009 + Z00030
R00569_v1,reverse,C00112 + C00009 + Z00030 => C00063 + C00001 + Z00030
R00569_v2,forward,C00063 + C00001 + Z00055 => C00112 + C00009 + Z00055
R00569_v2,reverse,C00112 + C00009 + Z00055 => C00063 + C00001 + Z00055
R00569_v3,forward,C00063 + C00001 + Z00029 => C00112 + C00009 + Z00029
R00569_v3,reverse,C00112 + C00009 + Z00029 => C00063 + C00001 + Z00029
R00569_v4,forward,C00063 + C00001 + Z00069 => C00112 + C00009 + Z00069
R00569_v4,reverse,C00112 + C00009 + Z00069 => C00063 + C00001 + Z00069
R00570_v1,forward,C00002 + C00112 + Z00029 => C00008 + C00063 + Z00029
R00570_v1,reverse,C00008 + C00063 + Z00029 => C00002 + C00112 + Z00029
R00571_v1,forward,C00002 + C00075 + C00014 + Z00029 => C00008 + C00009 + C00063 + Z00029
R00571_v1,reverse,C00008 + C00009 + C00063 + Z00029 => C00002 + C00075 + C00014 + Z00029
R00572_v1,forward,C00063 + C00022 + Z00069 => C00112 + C00074 + Z00069
R00572_v1,reverse,C00112 + C00074 + Z00069 => C00063 + C00022 + Z00069
R00572_v2,forward,C00063 + C00022 + Z00026 + Z00029 => C00112 + C00074 + Z00026 + Z00029
R00572_v2,reverse,C00112 + C00074 + Z00026 + Z00029 => C00063 + C00022 + Z00026 + Z00029
R00573_v1,forward,C00002 + C00075 + C00064 + C00001 + Z00029 => C00008 + C00009 + C00063 + C00025 + Z00029
R00573_v1,reverse,C00008 + C00009 + C00063 + C00025 + Z00029 => C00002 + C00075 + C00064 + C00001 + Z00029
R00574,forward,C00063 => C00941 + C00013
R00574,reverse,C00941 + C00013 => C00063
R00575_v1,forward,2C00002 + C00064 + C00288 + C00001 + Z00030 => 2C00008 + C00009 + C00025 + C00169 + Z00030
R00575_v1,reverse,2C00008 + C00009 + C00025 + C00169 + Z00030 => 2C00002 + C00064 + C00288 + C00001 + Z00030
R00575_v2,forward,2C00002 + C00064 + C00288 + C00001 + Z00054 => 2C00008 + C00009 + C00025 + C00169 + Z00054
R00575_v2,reverse,2C00008 + C00009 + C00025 + C00169 + Z00054 => 2C00002 + C00064 + C00288 + C00001 + Z00054
R00576_v1,forward,C00064 + C00022 + Z00035 => C00940 + C00041 + Z00035
R00576_v1,reverse,C00940 + C00041 + Z00035 => C00064 + C00022 + Z00035
R00577,reverse,C00010 + C02716 => C00040 + C00064
R00578,forward,C00002 + C00049 + C00064 + C00001 => C00020 + C00013 + C00152 + C00025
R00578,reverse,C00020 + C00013 + C00152 + C00025 => C00002 + C00049 + C00064 + C00001
R00579_v1,forward,C00064 + Z00035 => C00819 + Z00035
R00579_v1,reverse,C00819 + Z00035 => C00064 + Z00035
R00581,forward,C00065 + C00003 + C00001 => C00168 + C00014 + C00004 + C00080
R00581,reverse,C00168 + C00014 + C00004 + C00080 => C00065 + C00003 + C00001
R00582_v1,forward,C01005 + C00001 + Z00006 => C00065 + C00009 + Z00006
R00582_v1,reverse,C00065 + C00009 + Z00006 => C01005 + C00001 + Z00006
R00582_v2,forward,C01005 + C00001 + Z00030 => C00065 + C00009 + Z00030
R00582_v2,reverse,C00065 + C00009 + Z00030 => C01005 + C00001 + Z00030
R00582_v3,forward,C01005 + C00001 + Z00029 => C00065 + C00009 + Z00029
R00582_v3,reverse,C00065 + C00009 + Z00029 => C01005 + C00001 + Z00029
R00582_v4,forward,C01005 + C00001 + Z00054 => C00065 + C00009 + Z00054
R00582_v4,reverse,C00065 + C00009 + Z00054 => C01005 + C00001 + Z00054
R00584,forward,C00013 + C00065 => C00009 + C01005
R00584,reverse,C00009 + C01005 => C00013 + C00065
R00585_v1,forward,C00065 + C00022 + Z00035 => C00168 + C00041 + Z00035
R00585_v1,reverse,C00168 + C00041 + Z00035 => C00065 + C00022 + Z00035
