Supplementary Dataset 1 - Spreadsheet H - Network sizes for generic oxidant/reductant driven expansion (no RSSR--> 2RSH )  - Data for generating Extended Data Fig.4,,,,
,,,,
ox_eh,red_eh,thioester,carbon_source,num_compounds
600,600,0,1,10
600,600,1,0,8
600,600,1,1,15
600,800,0,0,6
600,800,0,1,10
600,800,1,0,8
600,800,1,1,15
800,-800,0,0,13
800,-800,0,1,149
800,-800,1,0,304
800,-800,1,1,304
800,-600,0,0,13
800,-600,0,1,149
800,-600,1,0,304
800,-600,1,1,304
800,-400,0,0,13
800,-400,0,1,149
800,-400,1,0,304
800,-400,1,1,304
800,-200,0,0,11
800,-200,0,1,12
800,-200,1,0,287
800,-200,1,1,287
800,0,0,0,6
800,0,0,1,10
800,0,1,0,8
800,0,1,1,265
800,200,0,0,6
800,200,0,1,10
800,200,1,0,8
800,200,1,1,15
800,400,0,0,6
800,400,0,1,10
800,400,1,0,8
800,400,1,1,15
800,600,0,0,6
800,600,0,1,10
800,600,1,0,8
800,600,1,1,15
800,800,0,0,6
800,800,0,1,10
800,800,1,0,8
800,800,1,1,15
