Supplementary Dataset 1 - Spreadsheet G - Network sizes for generic oxidant/reductant driven expansion - Data for generating Extended Data Fig.4,,,,
,,,,
oxidant redox potential,reductant redox potential,"thioester (1=RSH,0=no RSH)","carbon_source (1=Acetate/Formate, 0=CO2)",num_compounds
600,400,1,1,18
600,600,0,0,6
600,600,0,1,10
600,600,1,0,12
600,600,1,1,18
600,800,0,0,6
600,800,0,1,10
600,800,1,0,12
600,800,1,1,18
800,-800,0,0,13
800,-800,0,1,149
800,-800,1,0,307
800,-800,1,1,307
800,-600,0,0,13
800,-600,0,1,149
800,-600,1,0,307
800,-600,1,1,307
800,-400,0,0,13
800,-400,0,1,149
800,-400,1,0,307
800,-400,1,1,307
800,-200,0,0,11
800,-200,0,1,12
800,-200,1,0,290
800,-200,1,1,290
800,0,0,0,6
800,0,0,1,10
800,0,1,0,13
800,0,1,1,268
800,200,0,0,6
800,200,0,1,10
800,200,1,0,13
800,200,1,1,19
800,400,0,0,6
800,400,0,1,10
800,400,1,0,12
800,400,1,1,18
800,600,0,0,6
800,600,0,1,10
800,600,1,0,12
800,600,1,1,18
800,800,0,0,6
800,800,0,1,10
800,800,1,0,12
800,800,1,1,18
