i,n_swapped,n_kinases_to_ATP,n_ligases_to_ATP,swapped,n_compounds,n_reactions,R00200,R01523,R06836,R01053,R04144,R04208,R04463,R04591,R06974,R06975
39,2,0,2,"R01053,R06974",438,1257,0,0,0,1,0,0,0,0,1,0
40,2,0,2,"R01053,R06975",446,1273,0,0,0,1,0,0,0,0,0,1
41,2,0,2,"R04144,R04208",437,1257,0,0,0,0,1,1,0,0,0,0
42,2,0,2,"R04144,R04463",437,1257,0,0,0,0,1,0,1,0,0,0
43,2,0,2,"R04144,R04591",437,1257,0,0,0,0,1,0,0,1,0,0
44,2,0,2,"R04144,R06974",437,1257,0,0,0,0,1,0,0,0,1,0
45,2,0,2,"R04144,R06975",437,1257,0,0,0,0,1,0,0,0,0,1
46,2,0,2,"R04208,R04463",439,1261,0,0,0,0,0,1,1,0,0,0
47,2,0,2,"R04208,R04591",440,1263,0,0,0,0,0,1,0,1,0,0
48,2,0,2,"R04208,R06974",438,1259,0,0,0,0,0,1,0,0,1,0
49,2,0,2,"R04208,R06975",440,1263,0,0,0,0,0,1,0,0,0,1
50,2,0,2,"R04463,R04591",439,1261,0,0,0,0,0,0,1,1,0,0
51,2,0,2,"R04463,R06974",438,1259,0,0,0,0,0,0,1,0,1,0
52,2,0,2,"R04463,R06975",439,1261,0,0,0,0,0,0,1,0,0,1
53,2,0,2,"R04591,R06974",438,1259,0,0,0,0,0,0,0,1,1,0
54,2,0,2,"R04591,R06975",443,1269,0,0,0,0,0,0,0,1,0,1
55,2,0,2,"R06974,R06975",438,1259,0,0,0,0,0,0,0,0,1,1
56,3,3,0,"R00200,R01523,R06836",4315,12534,1,1,1,0,0,0,0,0,0,0
57,3,2,1,"R00200,R01523,R01053",4315,12534,1,1,0,1,0,0,0,0,0,0
58,3,2,1,"R00200,R01523,R04144",437,1249,1,1,0,0,1,0,0,0,0,0
59,3,2,1,"R00200,R01523,R04208",440,1255,1,1,0,0,0,1,0,0,0,0
60,3,2,1,"R00200,R01523,R04463",439,1253,1,1,0,0,0,0,1,0,0,0
61,3,2,1,"R00200,R01523,R04591",443,1261,1,1,0,0,0,0,0,1,0,0
62,3,2,1,"R00200,R01523,R06974",438,1251,1,1,0,0,0,0,0,0,1,0
63,3,2,1,"R00200,R01523,R06975",446,1267,1,1,0,0,0,0,0,0,0,1
64,3,2,1,"R00200,R06836,R01053",429,1210,1,0,1,1,0,0,0,0,0,0
65,3,2,1,"R00200,R06836,R04144",437,1251,1,0,1,0,1,0,0,0,0,0
66,3,2,1,"R00200,R06836,R04208",440,1257,1,0,1,0,0,1,0,0,0,0
67,3,2,1,"R00200,R06836,R04463",439,1255,1,0,1,0,0,0,1,0,0,0
68,3,2,1,"R00200,R06836,R04591",443,1263,1,0,1,0,0,0,0,1,0,0
69,3,2,1,"R00200,R06836,R06974",438,1253,1,0,1,0,0,0,0,0,1,0
70,3,2,1,"R00200,R06836,R06975",446,1269,1,0,1,0,0,0,0,0,0,1
71,3,1,2,"R00200,R01053,R04144",437,1251,1,0,0,1,1,0,0,0,0,0
72,3,1,2,"R00200,R01053,R04208",440,1257,1,0,0,1,0,1,0,0,0,0
73,3,1,2,"R00200,R01053,R04463",439,1255,1,0,0,1,0,0,1,0,0,0
74,3,1,2,"R00200,R01053,R04591",443,1263,1,0,0,1,0,0,0,1,0,0
75,3,1,2,"R00200,R01053,R06974",438,1253,1,0,0,1,0,0,0,0,1,0
76,3,1,2,"R00200,R01053,R06975",446,1269,1,0,0,1,0,0,0,0,0,1
77,3,1,2,"R00200,R04144,R04208",437,1253,1,0,0,0,1,1,0,0,0,0
78,3,1,2,"R00200,R04144,R04463",437,1253,1,0,0,0,1,0,1,0,0,0
79,3,1,2,"R00200,R04144,R04591",437,1253,1,0,0,0,1,0,0,1,0,0
80,3,1,2,"R00200,R04144,R06974",437,1253,1,0,0,0,1,0,0,0,1,0
81,3,1,2,"R00200,R04144,R06975",437,1253,1,0,0,0,1,0,0,0,0,1
82,3,1,2,"R00200,R04208,R04463",439,1257,1,0,0,0,0,1,1,0,0,0
83,3,1,2,"R00200,R04208,R04591",440,1259,1,0,0,0,0,1,0,1,0,0
84,3,1,2,"R00200,R04208,R06974",438,1255,1,0,0,0,0,1,0,0,1,0
85,3,1,2,"R00200,R04208,R06975",440,1259,1,0,0,0,0,1,0,0,0,1
86,3,1,2,"R00200,R04463,R04591",439,1257,1,0,0,0,0,0,1,1,0,0
87,3,1,2,"R00200,R04463,R06974",438,1255,1,0,0,0,0,0,1,0,1,0
88,3,1,2,"R00200,R04463,R06975",439,1257,1,0,0,0,0,0,1,0,0,1
89,3,1,2,"R00200,R04591,R06974",438,1255,1,0,0,0,0,0,0,1,1,0
90,3,1,2,"R00200,R04591,R06975",443,1265,1,0,0,0,0,0,0,1,0,1
91,3,1,2,"R00200,R06974,R06975",438,1255,1,0,0,0,0,0,0,0,1,1
92,3,2,1,"R01523,R06836,R01053",429,1210,0,1,1,1,0,0,0,0,0,0
93,3,2,1,"R01523,R06836,R04144",437,1251,0,1,1,0,1,0,0,0,0,0
94,3,2,1,"R01523,R06836,R04208",440,1257,0,1,1,0,0,1,0,0,0,0
95,3,2,1,"R01523,R06836,R04463",439,1255,0,1,1,0,0,0,1,0,0,0
96,3,2,1,"R01523,R06836,R04591",443,1263,0,1,1,0,0,0,0,1,0,0
97,3,2,1,"R01523,R06836,R06974",438,1253,0,1,1,0,0,0,0,0,1,0
98,3,2,1,"R01523,R06836,R06975",446,1269,0,1,1,0,0,0,0,0,0,1
99,3,1,2,"R01523,R01053,R04144",437,1251,0,1,0,1,1,0,0,0,0,0
100,3,1,2,"R01523,R01053,R04208",440,1257,0,1,0,1,0,1,0,0,0,0
101,3,1,2,"R01523,R01053,R04463",439,1255,0,1,0,1,0,0,1,0,0,0
102,3,1,2,"R01523,R01053,R04591",443,1263,0,1,0,1,0,0,0,1,0,0
103,3,1,2,"R01523,R01053,R06974",438,1253,0,1,0,1,0,0,0,0,1,0
104,3,1,2,"R01523,R01053,R06975",446,1269,0,1,0,1,0,0,0,0,0,1
105,3,1,2,"R01523,R04144,R04208",437,1253,0,1,0,0,1,1,0,0,0,0
106,3,1,2,"R01523,R04144,R04463",437,1253,0,1,0,0,1,0,1,0,0,0
107,3,1,2,"R01523,R04144,R04591",437,1253,0,1,0,0,1,0,0,1,0,0
108,3,1,2,"R01523,R04144,R06974",437,1253,0,1,0,0,1,0,0,0,1,0
109,3,1,2,"R01523,R04144,R06975",437,1253,0,1,0,0,1,0,0,0,0,1
110,3,1,2,"R01523,R04208,R04463",439,1257,0,1,0,0,0,1,1,0,0,0
111,3,1,2,"R01523,R04208,R04591",440,1259,0,1,0,0,0,1,0,1,0,0
112,3,1,2,"R01523,R04208,R06974",438,1255,0,1,0,0,0,1,0,0,1,0
113,3,1,2,"R01523,R04208,R06975",440,1259,0,1,0,0,0,1,0,0,0,1
114,3,1,2,"R01523,R04463,R04591",439,1257,0,1,0,0,0,0,1,1,0,0
115,3,1,2,"R01523,R04463,R06974",438,1255,0,1,0,0,0,0,1,0,1,0
116,3,1,2,"R01523,R04463,R06975",439,1257,0,1,0,0,0,0,1,0,0,1
117,3,1,2,"R01523,R04591,R06974",438,1255,0,1,0,0,0,0,0,1,1,0
118,3,1,2,"R01523,R04591,R06975",443,1265,0,1,0,0,0,0,0,1,0,1
119,3,1,2,"R01523,R06974,R06975",438,1255,0,1,0,0,0,0,0,0,1,1
120,3,1,2,"R06836,R01053,R04144",429,1214,0,0,1,1,1,0,0,0,0,0
121,3,1,2,"R06836,R01053,R04208",429,1214,0,0,1,1,0,1,0,0,0,0
122,3,1,2,"R06836,R01053,R04463",429,1214,0,0,1,1,0,0,1,0,0,0
123,3,1,2,"R06836,R01053,R04591",429,1214,0,0,1,1,0,0,0,1,0,0
124,3,1,2,"R06836,R01053,R06974",429,1214,0,0,1,1,0,0,0,0,1,0
125,3,1,2,"R06836,R01053,R06975",429,1214,0,0,1,1,0,0,0,0,0,1
126,3,1,2,"R06836,R04144,R04208",437,1255,0,0,1,0,1,1,0,0,0,0
127,3,1,2,"R06836,R04144,R04463",437,1255,0,0,1,0,1,0,1,0,0,0
128,3,1,2,"R06836,R04144,R04591",437,1255,0,0,1,0,1,0,0,1,0,0
129,3,1,2,"R06836,R04144,R06974",437,1255,0,0,1,0,1,0,0,0,1,0
130,3,1,2,"R06836,R04144,R06975",437,1255,0,0,1,0,1,0,0,0,0,1
131,3,1,2,"R06836,R04208,R04463",439,1259,0,0,1,0,0,1,1,0,0,0
132,3,1,2,"R06836,R04208,R04591",440,1261,0,0,1,0,0,1,0,1,0,0
133,3,1,2,"R06836,R04208,R06974",438,1257,0,0,1,0,0,1,0,0,1,0
134,3,1,2,"R06836,R04208,R06975",440,1261,0,0,1,0,0,1,0,0,0,1
135,3,1,2,"R06836,R04463,R04591",439,1259,0,0,1,0,0,0,1,1,0,0
136,3,1,2,"R06836,R04463,R06974",438,1257,0,0,1,0,0,0,1,0,1,0
137,3,1,2,"R06836,R04463,R06975",439,1259,0,0,1,0,0,0,1,0,0,1
138,3,1,2,"R06836,R04591,R06974",438,1257,0,0,1,0,0,0,0,1,1,0
139,3,1,2,"R06836,R04591,R06975",443,1267,0,0,1,0,0,0,0,1,0,1
140,3,1,2,"R06836,R06974,R06975",438,1257,0,0,1,0,0,0,0,0,1,1
141,3,0,3,"R01053,R04144,R04208",437,1255,0,0,0,1,1,1,0,0,0,0
142,3,0,3,"R01053,R04144,R04463",437,1255,0,0,0,1,1,0,1,0,0,0
143,3,0,3,"R01053,R04144,R04591",437,1255,0,0,0,1,1,0,0,1,0,0
144,3,0,3,"R01053,R04144,R06974",437,1255,0,0,0,1,1,0,0,0,1,0
145,3,0,3,"R01053,R04144,R06975",437,1255,0,0,0,1,1,0,0,0,0,1
146,3,0,3,"R01053,R04208,R04463",439,1259,0,0,0,1,0,1,1,0,0,0
147,3,0,3,"R01053,R04208,R04591",440,1261,0,0,0,1,0,1,0,1,0,0
148,3,0,3,"R01053,R04208,R06974",438,1257,0,0,0,1,0,1,0,0,1,0
149,3,0,3,"R01053,R04208,R06975",440,1261,0,0,0,1,0,1,0,0,0,1
150,3,0,3,"R01053,R04463,R04591",439,1259,0,0,0,1,0,0,1,1,0,0
151,3,0,3,"R01053,R04463,R06974",438,1257,0,0,0,1,0,0,1,0,1,0
152,3,0,3,"R01053,R04463,R06975",439,1259,0,0,0,1,0,0,1,0,0,1
153,3,0,3,"R01053,R04591,R06974",438,1257,0,0,0,1,0,0,0,1,1,0
154,3,0,3,"R01053,R04591,R06975",443,1267,0,0,0,1,0,0,0,1,0,1
155,3,0,3,"R01053,R06974,R06975",438,1257,0,0,0,1,0,0,0,0,1,1
156,3,0,3,"R04144,R04208,R04463",437,1257,0,0,0,0,1,1,1,0,0,0
157,3,0,3,"R04144,R04208,R04591",437,1257,0,0,0,0,1,1,0,1,0,0
158,3,0,3,"R04144,R04208,R06974",437,1257,0,0,0,0,1,1,0,0,1,0
159,3,0,3,"R04144,R04208,R06975",437,1257,0,0,0,0,1,1,0,0,0,1
160,3,0,3,"R04144,R04463,R04591",437,1257,0,0,0,0,1,0,1,1,0,0
161,3,0,3,"R04144,R04463,R06974",437,1257,0,0,0,0,1,0,1,0,1,0
162,3,0,3,"R04144,R04463,R06975",437,1257,0,0,0,0,1,0,1,0,0,1
163,3,0,3,"R04144,R04591,R06974",437,1257,0,0,0,0,1,0,0,1,1,0
164,3,0,3,"R04144,R04591,R06975",437,1257,0,0,0,0,1,0,0,1,0,1
165,3,0,3,"R04144,R06974,R06975",437,1257,0,0,0,0,1,0,0,0,1,1
166,3,0,3,"R04208,R04463,R04591",439,1261,0,0,0,0,0,1,1,1,0,0
167,3,0,3,"R04208,R04463,R06974",438,1259,0,0,0,0,0,1,1,0,1,0
168,3,0,3,"R04208,R04463,R06975",439,1261,0,0,0,0,0,1,1,0,0,1
169,3,0,3,"R04208,R04591,R06974",438,1259,0,0,0,0,0,1,0,1,1,0
170,3,0,3,"R04208,R04591,R06975",440,1263,0,0,0,0,0,1,0,1,0,1
171,3,0,3,"R04208,R06974,R06975",438,1259,0,0,0,0,0,1,0,0,1,1
172,3,0,3,"R04463,R04591,R06974",438,1259,0,0,0,0,0,0,1,1,1,0
173,3,0,3,"R04463,R04591,R06975",439,1261,0,0,0,0,0,0,1,1,0,1
174,3,0,3,"R04463,R06974,R06975",438,1259,0,0,0,0,0,0,1,0,1,1
175,3,0,3,"R04591,R06974,R06975",438,1259,0,0,0,0,0,0,0,1,1,1
176,4,3,1,"R00200,R01523,R06836,R01053",429,1206,1,1,1,1,0,0,0,0,0,0
177,4,3,1,"R00200,R01523,R06836,R04144",437,1247,1,1,1,0,1,0,0,0,0,0
178,4,3,1,"R00200,R01523,R06836,R04208",440,1253,1,1,1,0,0,1,0,0,0,0
179,4,3,1,"R00200,R01523,R06836,R04463",439,1251,1,1,1,0,0,0,1,0,0,0
180,4,3,1,"R00200,R01523,R06836,R04591",443,1259,1,1,1,0,0,0,0,1,0,0
181,4,3,1,"R00200,R01523,R06836,R06974",438,1249,1,1,1,0,0,0,0,0,1,0
182,4,3,1,"R00200,R01523,R06836,R06975",446,1265,1,1,1,0,0,0,0,0,0,1
183,4,2,2,"R00200,R01523,R01053,R04144",437,1247,1,1,0,1,1,0,0,0,0,0
184,4,2,2,"R00200,R01523,R01053,R04208",440,1253,1,1,0,1,0,1,0,0,0,0
185,4,2,2,"R00200,R01523,R01053,R04463",439,1251,1,1,0,1,0,0,1,0,0,0
186,4,2,2,"R00200,R01523,R01053,R04591",443,1259,1,1,0,1,0,0,0,1,0,0
187,4,2,2,"R00200,R01523,R01053,R06974",438,1249,1,1,0,1,0,0,0,0,1,0
188,4,2,2,"R00200,R01523,R01053,R06975",446,1265,1,1,0,1,0,0,0,0,0,1
189,4,2,2,"R00200,R01523,R04144,R04208",437,1249,1,1,0,0,1,1,0,0,0,0
190,4,2,2,"R00200,R01523,R04144,R04463",437,1249,1,1,0,0,1,0,1,0,0,0
191,4,2,2,"R00200,R01523,R04144,R04591",437,1249,1,1,0,0,1,0,0,1,0,0
192,4,2,2,"R00200,R01523,R04144,R06974",437,1249,1,1,0,0,1,0,0,0,1,0
193,4,2,2,"R00200,R01523,R04144,R06975",437,1249,1,1,0,0,1,0,0,0,0,1
194,4,2,2,"R00200,R01523,R04208,R04463",439,1253,1,1,0,0,0,1,1,0,0,0
195,4,2,2,"R00200,R01523,R04208,R04591",440,1255,1,1,0,0,0,1,0,1,0,0
196,4,2,2,"R00200,R01523,R04208,R06974",438,1251,1,1,0,0,0,1,0,0,1,0
197,4,2,2,"R00200,R01523,R04208,R06975",440,1255,1,1,0,0,0,1,0,0,0,1
198,4,2,2,"R00200,R01523,R04463,R04591",439,1253,1,1,0,0,0,0,1,1,0,0
199,4,2,2,"R00200,R01523,R04463,R06974",438,1251,1,1,0,0,0,0,1,0,1,0
200,4,2,2,"R00200,R01523,R04463,R06975",439,1253,1,1,0,0,0,0,1,0,0,1
201,4,2,2,"R00200,R01523,R04591,R06974",438,1251,1,1,0,0,0,0,0,1,1,0
202,4,2,2,"R00200,R01523,R04591,R06975",443,1261,1,1,0,0,0,0,0,1,0,1
203,4,2,2,"R00200,R01523,R06974,R06975",438,1251,1,1,0,0,0,0,0,0,1,1
204,4,2,2,"R00200,R06836,R01053,R04144",429,1210,1,0,1,1,1,0,0,0,0,0
205,4,2,2,"R00200,R06836,R01053,R04208",429,1210,1,0,1,1,0,1,0,0,0,0
206,4,2,2,"R00200,R06836,R01053,R04463",429,1210,1,0,1,1,0,0,1,0,0,0
207,4,2,2,"R00200,R06836,R01053,R04591",429,1210,1,0,1,1,0,0,0,1,0,0
208,4,2,2,"R00200,R06836,R01053,R06974",429,1210,1,0,1,1,0,0,0,0,1,0
209,4,2,2,"R00200,R06836,R01053,R06975",429,1210,1,0,1,1,0,0,0,0,0,1
210,4,2,2,"R00200,R06836,R04144,R04208",437,1251,1,0,1,0,1,1,0,0,0,0
211,4,2,2,"R00200,R06836,R04144,R04463",437,1251,1,0,1,0,1,0,1,0,0,0
212,4,2,2,"R00200,R06836,R04144,R04591",437,1251,1,0,1,0,1,0,0,1,0,0
213,4,2,2,"R00200,R06836,R04144,R06974",437,1251,1,0,1,0,1,0,0,0,1,0
214,4,2,2,"R00200,R06836,R04144,R06975",437,1251,1,0,1,0,1,0,0,0,0,1
215,4,2,2,"R00200,R06836,R04208,R04463",439,1255,1,0,1,0,0,1,1,0,0,0
216,4,2,2,"R00200,R06836,R04208,R04591",440,1257,1,0,1,0,0,1,0,1,0,0
217,4,2,2,"R00200,R06836,R04208,R06974",438,1253,1,0,1,0,0,1,0,0,1,0
218,4,2,2,"R00200,R06836,R04208,R06975",440,1257,1,0,1,0,0,1,0,0,0,1
219,4,2,2,"R00200,R06836,R04463,R04591",439,1255,1,0,1,0,0,0,1,1,0,0
220,4,2,2,"R00200,R06836,R04463,R06974",438,1253,1,0,1,0,0,0,1,0,1,0
221,4,2,2,"R00200,R06836,R04463,R06975",439,1255,1,0,1,0,0,0,1,0,0,1
222,4,2,2,"R00200,R06836,R04591,R06974",438,1253,1,0,1,0,0,0,0,1,1,0
223,4,2,2,"R00200,R06836,R04591,R06975",443,1263,1,0,1,0,0,0,0,1,0,1
224,4,2,2,"R00200,R06836,R06974,R06975",438,1253,1,0,1,0,0,0,0,0,1,1
225,4,1,3,"R00200,R01053,R04144,R04208",437,1251,1,0,0,1,1,1,0,0,0,0
226,4,1,3,"R00200,R01053,R04144,R04463",437,1251,1,0,0,1,1,0,1,0,0,0
227,4,1,3,"R00200,R01053,R04144,R04591",437,1251,1,0,0,1,1,0,0,1,0,0
228,4,1,3,"R00200,R01053,R04144,R06974",437,1251,1,0,0,1,1,0,0,0,1,0
229,4,1,3,"R00200,R01053,R04144,R06975",437,1251,1,0,0,1,1,0,0,0,0,1
230,4,1,3,"R00200,R01053,R04208,R04463",439,1255,1,0,0,1,0,1,1,0,0,0
231,4,1,3,"R00200,R01053,R04208,R04591",440,1257,1,0,0,1,0,1,0,1,0,0
232,4,1,3,"R00200,R01053,R04208,R06974",438,1253,1,0,0,1,0,1,0,0,1,0
233,4,1,3,"R00200,R01053,R04208,R06975",440,1257,1,0,0,1,0,1,0,0,0,1
234,4,1,3,"R00200,R01053,R04463,R04591",439,1255,1,0,0,1,0,0,1,1,0,0
235,4,1,3,"R00200,R01053,R04463,R06974",438,1253,1,0,0,1,0,0,1,0,1,0
236,4,1,3,"R00200,R01053,R04463,R06975",439,1255,1,0,0,1,0,0,1,0,0,1
237,4,1,3,"R00200,R01053,R04591,R06974",438,1253,1,0,0,1,0,0,0,1,1,0
238,4,1,3,"R00200,R01053,R04591,R06975",443,1263,1,0,0,1,0,0,0,1,0,1
239,4,1,3,"R00200,R01053,R06974,R06975",438,1253,1,0,0,1,0,0,0,0,1,1
240,4,1,3,"R00200,R04144,R04208,R04463",437,1253,1,0,0,0,1,1,1,0,0,0
241,4,1,3,"R00200,R04144,R04208,R04591",437,1253,1,0,0,0,1,1,0,1,0,0
242,4,1,3,"R00200,R04144,R04208,R06974",437,1253,1,0,0,0,1,1,0,0,1,0
243,4,1,3,"R00200,R04144,R04208,R06975",437,1253,1,0,0,0,1,1,0,0,0,1
244,4,1,3,"R00200,R04144,R04463,R04591",437,1253,1,0,0,0,1,0,1,1,0,0
245,4,1,3,"R00200,R04144,R04463,R06974",437,1253,1,0,0,0,1,0,1,0,1,0
246,4,1,3,"R00200,R04144,R04463,R06975",437,1253,1,0,0,0,1,0,1,0,0,1
247,4,1,3,"R00200,R04144,R04591,R06974",437,1253,1,0,0,0,1,0,0,1,1,0
248,4,1,3,"R00200,R04144,R04591,R06975",437,1253,1,0,0,0,1,0,0,1,0,1
249,4,1,3,"R00200,R04144,R06974,R06975",437,1253,1,0,0,0,1,0,0,0,1,1
250,4,1,3,"R00200,R04208,R04463,R04591",439,1257,1,0,0,0,0,1,1,1,0,0
251,4,1,3,"R00200,R04208,R04463,R06974",438,1255,1,0,0,0,0,1,1,0,1,0
252,4,1,3,"R00200,R04208,R04463,R06975",439,1257,1,0,0,0,0,1,1,0,0,1
253,4,1,3,"R00200,R04208,R04591,R06974",438,1255,1,0,0,0,0,1,0,1,1,0
254,4,1,3,"R00200,R04208,R04591,R06975",440,1259,1,0,0,0,0,1,0,1,0,1
255,4,1,3,"R00200,R04208,R06974,R06975",438,1255,1,0,0,0,0,1,0,0,1,1
256,4,1,3,"R00200,R04463,R04591,R06974",438,1255,1,0,0,0,0,0,1,1,1,0
257,4,1,3,"R00200,R04463,R04591,R06975",439,1257,1,0,0,0,0,0,1,1,0,1
258,4,1,3,"R00200,R04463,R06974,R06975",438,1255,1,0,0,0,0,0,1,0,1,1
259,4,1,3,"R00200,R04591,R06974,R06975",438,1255,1,0,0,0,0,0,0,1,1,1
260,4,2,2,"R01523,R06836,R01053,R04144",429,1210,0,1,1,1,1,0,0,0,0,0
261,4,2,2,"R01523,R06836,R01053,R04208",429,1210,0,1,1,1,0,1,0,0,0,0
262,4,2,2,"R01523,R06836,R01053,R04463",429,1210,0,1,1,1,0,0,1,0,0,0
263,4,2,2,"R01523,R06836,R01053,R04591",429,1210,0,1,1,1,0,0,0,1,0,0
264,4,2,2,"R01523,R06836,R01053,R06974",429,1210,0,1,1,1,0,0,0,0,1,0
265,4,2,2,"R01523,R06836,R01053,R06975",429,1210,0,1,1,1,0,0,0,0,0,1
266,4,2,2,"R01523,R06836,R04144,R04208",437,1251,0,1,1,0,1,1,0,0,0,0
267,4,2,2,"R01523,R06836,R04144,R04463",437,1251,0,1,1,0,1,0,1,0,0,0
268,4,2,2,"R01523,R06836,R04144,R04591",437,1251,0,1,1,0,1,0,0,1,0,0
269,4,2,2,"R01523,R06836,R04144,R06974",437,1251,0,1,1,0,1,0,0,0,1,0
270,4,2,2,"R01523,R06836,R04144,R06975",437,1251,0,1,1,0,1,0,0,0,0,1
271,4,2,2,"R01523,R06836,R04208,R04463",439,1255,0,1,1,0,0,1,1,0,0,0
272,4,2,2,"R01523,R06836,R04208,R04591",440,1257,0,1,1,0,0,1,0,1,0,0
273,4,2,2,"R01523,R06836,R04208,R06974",438,1253,0,1,1,0,0,1,0,0,1,0
274,4,2,2,"R01523,R06836,R04208,R06975",440,1257,0,1,1,0,0,1,0,0,0,1
275,4,2,2,"R01523,R06836,R04463,R04591",439,1255,0,1,1,0,0,0,1,1,0,0
276,4,2,2,"R01523,R06836,R04463,R06974",438,1253,0,1,1,0,0,0,1,0,1,0
277,4,2,2,"R01523,R06836,R04463,R06975",439,1255,0,1,1,0,0,0,1,0,0,1
278,4,2,2,"R01523,R06836,R04591,R06974",438,1253,0,1,1,0,0,0,0,1,1,0
279,4,2,2,"R01523,R06836,R04591,R06975",443,1263,0,1,1,0,0,0,0,1,0,1
280,4,2,2,"R01523,R06836,R06974,R06975",438,1253,0,1,1,0,0,0,0,0,1,1
281,4,1,3,"R01523,R01053,R04144,R04208",437,1251,0,1,0,1,1,1,0,0,0,0
282,4,1,3,"R01523,R01053,R04144,R04463",437,1251,0,1,0,1,1,0,1,0,0,0
283,4,1,3,"R01523,R01053,R04144,R04591",437,1251,0,1,0,1,1,0,0,1,0,0
284,4,1,3,"R01523,R01053,R04144,R06974",437,1251,0,1,0,1,1,0,0,0,1,0
285,4,1,3,"R01523,R01053,R04144,R06975",437,1251,0,1,0,1,1,0,0,0,0,1
286,4,1,3,"R01523,R01053,R04208,R04463",439,1255,0,1,0,1,0,1,1,0,0,0
287,4,1,3,"R01523,R01053,R04208,R04591",440,1257,0,1,0,1,0,1,0,1,0,0
288,4,1,3,"R01523,R01053,R04208,R06974",438,1253,0,1,0,1,0,1,0,0,1,0
289,4,1,3,"R01523,R01053,R04208,R06975",440,1257,0,1,0,1,0,1,0,0,0,1
290,4,1,3,"R01523,R01053,R04463,R04591",439,1255,0,1,0,1,0,0,1,1,0,0
291,4,1,3,"R01523,R01053,R04463,R06974",438,1253,0,1,0,1,0,0,1,0,1,0
292,4,1,3,"R01523,R01053,R04463,R06975",439,1255,0,1,0,1,0,0,1,0,0,1
293,4,1,3,"R01523,R01053,R04591,R06974",438,1253,0,1,0,1,0,0,0,1,1,0
294,4,1,3,"R01523,R01053,R04591,R06975",443,1263,0,1,0,1,0,0,0,1,0,1
295,4,1,3,"R01523,R01053,R06974,R06975",438,1253,0,1,0,1,0,0,0,0,1,1
296,4,1,3,"R01523,R04144,R04208,R04463",437,1253,0,1,0,0,1,1,1,0,0,0
297,4,1,3,"R01523,R04144,R04208,R04591",437,1253,0,1,0,0,1,1,0,1,0,0
298,4,1,3,"R01523,R04144,R04208,R06974",437,1253,0,1,0,0,1,1,0,0,1,0
299,4,1,3,"R01523,R04144,R04208,R06975",437,1253,0,1,0,0,1,1,0,0,0,1
300,4,1,3,"R01523,R04144,R04463,R04591",437,1253,0,1,0,0,1,0,1,1,0,0
301,4,1,3,"R01523,R04144,R04463,R06974",437,1253,0,1,0,0,1,0,1,0,1,0
302,4,1,3,"R01523,R04144,R04463,R06975",437,1253,0,1,0,0,1,0,1,0,0,1
303,4,1,3,"R01523,R04144,R04591,R06974",437,1253,0,1,0,0,1,0,0,1,1,0
304,4,1,3,"R01523,R04144,R04591,R06975",437,1253,0,1,0,0,1,0,0,1,0,1
305,4,1,3,"R01523,R04144,R06974,R06975",437,1253,0,1,0,0,1,0,0,0,1,1
306,4,1,3,"R01523,R04208,R04463,R04591",439,1257,0,1,0,0,0,1,1,1,0,0
307,4,1,3,"R01523,R04208,R04463,R06974",438,1255,0,1,0,0,0,1,1,0,1,0
308,4,1,3,"R01523,R04208,R04463,R06975",439,1257,0,1,0,0,0,1,1,0,0,1
309,4,1,3,"R01523,R04208,R04591,R06974",438,1255,0,1,0,0,0,1,0,1,1,0
310,4,1,3,"R01523,R04208,R04591,R06975",440,1259,0,1,0,0,0,1,0,1,0,1
311,4,1,3,"R01523,R04208,R06974,R06975",438,1255,0,1,0,0,0,1,0,0,1,1
312,4,1,3,"R01523,R04463,R04591,R06974",438,1255,0,1,0,0,0,0,1,1,1,0
313,4,1,3,"R01523,R04463,R04591,R06975",439,1257,0,1,0,0,0,0,1,1,0,1
314,4,1,3,"R01523,R04463,R06974,R06975",438,1255,0,1,0,0,0,0,1,0,1,1
315,4,1,3,"R01523,R04591,R06974,R06975",438,1255,0,1,0,0,0,0,0,1,1,1
316,4,1,3,"R06836,R01053,R04144,R04208",429,1214,0,0,1,1,1,1,0,0,0,0
317,4,1,3,"R06836,R01053,R04144,R04463",429,1214,0,0,1,1,1,0,1,0,0,0
318,4,1,3,"R06836,R01053,R04144,R04591",429,1214,0,0,1,1,1,0,0,1,0,0
319,4,1,3,"R06836,R01053,R04144,R06974",429,1214,0,0,1,1,1,0,0,0,1,0
320,4,1,3,"R06836,R01053,R04144,R06975",429,1214,0,0,1,1,1,0,0,0,0,1
321,4,1,3,"R06836,R01053,R04208,R04463",429,1214,0,0,1,1,0,1,1,0,0,0
322,4,1,3,"R06836,R01053,R04208,R04591",429,1214,0,0,1,1,0,1,0,1,0,0
323,4,1,3,"R06836,R01053,R04208,R06974",429,1214,0,0,1,1,0,1,0,0,1,0
324,4,1,3,"R06836,R01053,R04208,R06975",429,1214,0,0,1,1,0,1,0,0,0,1
325,4,1,3,"R06836,R01053,R04463,R04591",429,1214,0,0,1,1,0,0,1,1,0,0
326,4,1,3,"R06836,R01053,R04463,R06974",429,1214,0,0,1,1,0,0,1,0,1,0
327,4,1,3,"R06836,R01053,R04463,R06975",429,1214,0,0,1,1,0,0,1,0,0,1
328,4,1,3,"R06836,R01053,R04591,R06974",429,1214,0,0,1,1,0,0,0,1,1,0
