,module,iteration,sample
0,M00165,,0
1,M00173,,0
2,M00374,,0
3,M00375,,0
4,M00376,,0
5,M00377,,0
6,ReductiveGlycineModule,,0
0,M00165,,1
1,M00173,,1
2,M00374,,1
3,M00375,,1
4,M00376,,1
5,M00377,,1
6,ReductiveGlycineModule,,1
0,M00165,33.0,2
1,M00173,48.0,2
2,ReductiveGlycineModule,57.0,2
3,M00377,58.0,2
4,M00374,66.0,2
5,M00375,70.0,2
6,M00376,70.0,2
0,M00165,,3
1,M00173,,3
2,M00374,,3
3,M00375,,3
4,M00376,,3
5,M00377,,3
6,ReductiveGlycineModule,,3
0,M00165,,4
1,M00173,,4
2,M00374,,4
3,M00375,,4
4,M00376,,4
5,M00377,,4
6,ReductiveGlycineModule,,4
0,M00165,,5
1,M00173,,5
2,M00374,,5
3,M00375,,5
4,M00376,,5
5,M00377,,5
6,ReductiveGlycineModule,,5
0,M00165,,6
1,M00173,,6
2,M00374,,6
3,M00375,,6
4,M00376,,6
5,M00377,,6
6,ReductiveGlycineModule,,6
0,M00165,,7
1,M00173,,7
2,M00374,,7
3,M00375,,7
4,M00376,,7
5,M00377,,7
6,ReductiveGlycineModule,,7
0,M00165,,8
1,M00173,,8
2,M00374,,8
3,M00375,,8
4,M00376,,8
5,M00377,,8
6,ReductiveGlycineModule,,8
0,M00165,,9
1,M00173,,9
2,M00374,,9
3,M00375,,9
4,M00376,,9
5,M00377,,9
6,ReductiveGlycineModule,,9
0,M00165,,10
1,M00173,,10
2,M00374,,10
3,M00375,,10
4,M00376,,10
5,M00377,,10
6,ReductiveGlycineModule,,10
0,M00165,,11
1,M00173,,11
2,M00374,,11
3,M00375,,11
4,M00376,,11
5,M00377,,11
6,ReductiveGlycineModule,,11
0,M00165,,12
1,M00173,,12
2,M00374,,12
3,M00375,,12
4,M00376,,12
5,M00377,,12
6,ReductiveGlycineModule,,12
0,M00165,,13
1,M00173,,13
2,M00374,,13
3,M00375,,13
4,M00376,,13
5,M00377,,13
6,ReductiveGlycineModule,,13
0,M00165,,14
1,M00173,,14
2,M00374,,14
3,M00375,,14
4,M00376,,14
5,M00377,,14
6,ReductiveGlycineModule,,14
0,M00165,,15
1,M00173,,15
2,M00374,,15
3,M00375,,15
4,M00376,,15
5,M00377,,15
6,ReductiveGlycineModule,,15
0,M00165,,16
1,M00173,,16
2,M00374,,16
3,M00375,,16
4,M00376,,16
5,M00377,,16
6,ReductiveGlycineModule,,16
0,M00165,,17
1,M00173,,17
2,M00374,,17
3,M00375,,17
4,M00376,,17
5,M00377,,17
6,ReductiveGlycineModule,,17
0,M00165,,18
1,M00173,,18
2,M00374,,18
3,M00375,,18
4,M00376,,18
5,M00377,,18
6,ReductiveGlycineModule,,18
0,M00165,,19
1,M00173,,19
2,M00374,,19
3,M00375,,19
4,M00376,,19
5,M00377,,19
6,ReductiveGlycineModule,,19
0,M00165,,20
1,M00173,,20
2,M00374,,20
3,M00375,,20
4,M00376,,20
5,M00377,,20
6,ReductiveGlycineModule,,20
0,M00165,31.0,21
1,M00173,51.0,21
2,ReductiveGlycineModule,60.0,21
3,M00377,61.0,21
4,M00374,69.0,21
5,M00375,73.0,21
6,M00376,73.0,21
0,M00165,,22
1,M00173,,22
2,M00374,,22
3,M00375,,22
4,M00376,,22
5,M00377,,22
6,ReductiveGlycineModule,,22
0,M00165,,23
1,M00173,,23
2,M00374,,23
3,M00375,,23
4,M00376,,23
5,M00377,,23
6,ReductiveGlycineModule,,23
0,M00165,,24
1,M00173,,24
2,M00374,,24
3,M00375,,24
4,M00376,,24
5,M00377,,24
6,ReductiveGlycineModule,,24
0,M00165,,25
1,M00173,,25
2,M00374,,25
3,M00375,,25
4,M00376,,25
5,M00377,,25
6,ReductiveGlycineModule,,25
0,M00165,,26
1,M00173,,26
2,M00374,,26
3,M00375,,26
4,M00376,,26
5,M00377,,26
6,ReductiveGlycineModule,,26
0,M00165,,27
1,M00173,,27
2,M00374,,27
3,M00375,,27
4,M00376,,27
5,M00377,,27
