,stype,scope_size,expanded
353,simple,388,False
354,simple,64,False
355,simple,70,False
356,simple,395,False
357,simple,379,False
358,simple,64,False
359,simple,62,False
360,simple,4102,True
361,simple,386,False
362,simple,387,False
363,simple,65,False
364,simple,64,False
365,simple,64,False
366,simple,383,False
367,simple,4099,True
368,simple,64,False
369,simple,381,False
370,simple,62,False
371,simple,66,False
372,simple,394,False
373,simple,85,False
374,simple,67,False
375,simple,4095,True
376,simple,383,False
377,simple,65,False
378,simple,67,False
379,simple,385,False
380,simple,58,False
381,simple,71,False
382,simple,87,False
383,simple,385,False
384,simple,75,False
385,simple,60,False
386,simple,381,False
387,simple,65,False
388,simple,379,False
389,simple,71,False
390,simple,81,False
391,simple,64,False
392,simple,63,False
393,simple,61,False
394,simple,62,False
395,simple,73,False
396,simple,65,False
397,simple,377,False
398,simple,379,False
399,simple,386,False
400,simple,381,False
401,simple,65,False
402,simple,388,False
403,simple,82,False
404,simple,67,False
405,simple,387,False
406,simple,392,False
407,simple,78,False
408,simple,65,False
409,simple,387,False
410,simple,59,False
411,simple,63,False
412,simple,382,False
413,simple,63,False
414,simple,379,False
415,simple,4095,True
416,simple,64,False
417,simple,384,False
418,simple,384,False
419,simple,379,False
420,simple,63,False
421,simple,382,False
422,simple,394,False
423,simple,62,False
424,simple,391,False
425,simple,63,False
426,simple,63,False
427,simple,63,False
428,simple,4108,True
429,simple,378,False
430,simple,64,False
431,simple,378,False
432,simple,4095,True
433,simple,70,False
434,simple,71,False
435,simple,385,False
436,simple,383,False
437,simple,4101,True
438,simple,59,False
439,simple,403,False
440,simple,64,False
441,simple,64,False
442,simple,379,False
443,simple,4113,True
444,simple,62,False
445,simple,64,False
446,simple,60,False
447,simple,72,False
448,simple,63,False
449,simple,65,False
450,simple,385,False
451,simple,385,False
452,simple,74,False
453,simple,70,False
454,simple,380,False
455,simple,63,False
456,simple,63,False
457,simple,62,False
458,simple,4115,True
459,simple,389,False
460,simple,60,False
461,simple,389,False
462,simple,66,False
463,simple,64,False
464,simple,63,False
465,simple,386,False
466,simple,62,False
467,simple,386,False
468,simple,4100,True
469,simple,70,False
470,simple,58,False
471,simple,61,False
472,simple,396,False
473,simple,381,False
474,simple,384,False
475,simple,68,False
476,simple,61,False
477,simple,60,False
478,simple,385,False
479,simple,63,False
480,simple,380,False
481,simple,61,False
482,simple,64,False
483,simple,69,False
484,simple,81,False
485,simple,390,False
486,simple,377,False
487,simple,387,False
488,simple,80,False
489,simple,386,False
490,simple,69,False
491,simple,378,False
492,simple,65,False
493,simple,68,False
494,simple,65,False
495,simple,58,False
496,simple,393,False
497,simple,391,False
498,simple,58,False
499,simple,387,False
500,simple,376,False
501,simple,384,False
502,simple,378,False
503,simple,389,False
504,simple,60,False
505,simple,379,False
506,simple,380,False
507,simple,60,False
508,simple,387,False
509,simple,74,False
510,simple,383,False
511,simple,67,False
512,simple,389,False
513,simple,60,False
514,simple,70,False
515,simple,392,False
516,simple,64,False
517,simple,398,False
518,simple,382,False
519,simple,391,False
520,simple,102,False
521,simple,381,False
522,simple,58,False
523,simple,68,False
524,simple,64,False
525,simple,60,False
526,simple,391,False
527,simple,65,False
528,simple,68,False
529,simple,380,False
530,simple,64,False
531,simple,384,False
532,simple,62,False
533,simple,61,False
534,simple,394,False
535,simple,73,False
536,simple,66,False
537,simple,384,False
538,simple,400,False
539,simple,63,False
540,simple,387,False
541,simple,69,False
542,simple,69,False
543,simple,62,False
544,simple,4096,True
545,simple,58,False
546,simple,395,False
547,simple,399,False
548,simple,66,False
549,simple,70,False
550,simple,4097,True
551,simple,381,False
552,simple,63,False
553,simple,389,False
554,simple,387,False
555,simple,73,False
556,simple,59,False
557,simple,62,False
558,simple,62,False
559,simple,62,False
560,simple,79,False
561,simple,4105,True
562,simple,71,False
563,simple,378,False
564,simple,376,False
565,simple,69,False
566,simple,63,False
567,simple,387,False
568,simple,63,False
569,simple,63,False
570,simple,387,False
571,simple,387,False
572,simple,65,False
573,simple,72,False
574,simple,59,False
575,simple,58,False
576,simple,383,False
577,simple,70,False
578,simple,391,False
579,simple,4103,True
580,simple,386,False
581,simple,67,False
582,simple,61,False
583,simple,380,False
584,simple,386,False
585,simple,60,False
586,simple,73,False
587,simple,61,False
588,simple,381,False
589,simple,385,False
590,simple,64,False
591,simple,378,False
592,simple,387,False
593,simple,76,False
594,simple,386,False
595,simple,62,False
596,simple,67,False
597,simple,384,False
598,simple,380,False
599,simple,391,False
600,simple,380,False
601,simple,383,False
602,simple,68,False
603,simple,63,False
604,simple,80,False
605,simple,395,False
606,simple,384,False
607,simple,70,False
608,simple,394,False
609,simple,378,False
610,simple,4103,True
611,simple,71,False
612,simple,379,False
613,simple,4093,True
614,simple,71,False
615,simple,64,False
616,simple,69,False
617,simple,60,False
618,simple,70,False
619,simple,75,False
620,simple,380,False
621,simple,64,False
622,simple,396,False
623,simple,67,False
624,simple,70,False
625,simple,63,False
626,simple,389,False
627,simple,62,False
628,simple,61,False
629,simple,376,False
630,simple,386,False
631,simple,382,False
632,simple,66,False
633,simple,81,False
634,simple,386,False
635,simple,68,False
636,simple,386,False
637,simple,418,False
638,simple,62,False
639,simple,383,False
640,simple,389,False
641,simple,389,False
642,simple,71,False
643,simple,382,False
644,simple,381,False
645,simple,69,False
646,simple,68,False
647,simple,91,False
648,simple,66,False
649,simple,69,False
650,simple,386,False
651,simple,61,False
652,simple,384,False
653,simple,69,False
654,simple,68,False
655,simple,391,False
656,simple,61,False
657,simple,382,False
658,simple,64,False
659,simple,383,False
660,simple,388,False
661,simple,62,False
662,simple,72,False
663,simple,390,False
664,simple,389,False
665,simple,393,False
666,simple,66,False
667,simple,380,False
668,simple,381,False
669,simple,69,False
670,simple,84,False
671,simple,68,False
672,simple,62,False
673,simple,64,False
674,simple,58,False
675,simple,58,False
676,simple,60,False
677,simple,395,False
678,simple,70,False
679,simple,63,False
680,simple,384,False
681,simple,385,False
682,simple,385,False
683,simple,65,False
684,simple,383,False
685,simple,381,False
686,simple,383,False
687,simple,385,False
688,simple,389,False
689,simple,380,False
690,simple,62,False
691,simple,388,False
692,simple,379,False
693,simple,391,False
694,simple,60,False
695,simple,65,False
696,simple,4109,True
697,simple,70,False
698,simple,387,False
699,simple,64,False
700,simple,383,False
701,simple,67,False
702,simple,64,False
703,simple,388,False
704,simple,395,False
705,simple,64,False
706,simple,65,False
707,simple,60,False
708,simple,71,False
709,simple,57,False
710,simple,385,False
711,simple,382,False
712,simple,385,False
713,simple,391,False
714,simple,64,False
715,simple,67,False
716,simple,384,False
717,simple,385,False
718,simple,65,False
719,simple,58,False
720,simple,379,False
721,simple,4093,True
722,simple,71,False
723,simple,65,False
724,simple,385,False
725,simple,383,False
726,simple,382,False
727,simple,384,False
728,simple,62,False
729,simple,379,False
730,simple,65,False
731,simple,376,False
732,simple,69,False
733,simple,392,False
734,simple,4097,True
735,simple,392,False
736,simple,387,False
737,simple,379,False
738,simple,392,False
739,simple,65,False
740,simple,395,False
741,simple,399,False
742,simple,386,False
743,simple,64,False
744,simple,61,False
745,simple,63,False
746,simple,59,False
747,simple,59,False
748,simple,382,False
749,simple,384,False
750,simple,388,False
751,simple,385,False
752,simple,4102,True
753,simple,63,False
754,simple,382,False
755,simple,61,False
756,simple,384,False
757,simple,68,False
758,simple,395,False
759,simple,386,False
760,simple,58,False
761,simple,381,False
762,simple,381,False
763,simple,376,False
764,simple,63,False
765,simple,70,False
766,simple,61,False
767,simple,380,False
768,simple,91,False
769,simple,66,False
770,simple,377,False
771,simple,388,False
772,simple,71,False
773,simple,384,False
774,simple,4107,True
775,simple,68,False
776,simple,69,False
777,simple,68,False
778,simple,392,False
779,simple,65,False
780,simple,60,False
781,simple,63,False
782,simple,386,False
783,simple,377,False
784,simple,383,False
785,simple,391,False
786,simple,393,False
787,simple,377,False
788,simple,64,False
789,simple,381,False
790,simple,66,False
791,simple,4100,True
792,simple,60,False
793,simple,61,False
794,simple,59,False
795,simple,400,False
796,simple,67,False
797,simple,61,False
798,simple,64,False
799,simple,380,False
800,simple,75,False
801,simple,379,False
802,simple,68,False
803,simple,64,False
804,simple,394,False
805,simple,391,False
806,simple,65,False
807,simple,396,False
808,simple,376,False
809,simple,60,False
810,simple,387,False
811,simple,386,False
812,simple,388,False
813,simple,66,False
814,simple,4111,True
815,simple,72,False
816,simple,382,False
817,simple,390,False
818,simple,69,False
819,simple,63,False
820,simple,393,False
821,simple,382,False
822,simple,380,False
823,simple,63,False
824,simple,65,False
825,simple,385,False
826,simple,389,False
827,simple,381,False
828,simple,57,False
829,simple,64,False
830,simple,64,False
831,simple,384,False
832,simple,66,False
833,simple,61,False
834,simple,380,False
835,simple,61,False
836,simple,64,False
837,simple,395,False
838,simple,61,False
839,simple,382,False
840,simple,397,False
841,simple,381,False
842,simple,386,False
843,simple,378,False
844,simple,63,False
845,simple,80,False
846,simple,62,False
847,simple,381,False
848,simple,390,False
849,simple,379,False
850,simple,387,False
851,simple,73,False
852,simple,61,False
853,simple,399,False
854,simple,59,False
855,simple,66,False
856,simple,386,False
857,simple,65,False
858,simple,69,False
859,simple,69,False
860,simple,65,False
861,simple,385,False
862,simple,384,False
863,simple,385,False
864,simple,385,False
865,simple,64,False
866,simple,59,False
867,simple,381,False
868,simple,65,False
869,simple,72,False
870,simple,68,False
871,simple,84,False
872,simple,59,False
873,simple,59,False
874,simple,66,False
875,simple,387,False
876,simple,63,False
877,simple,76,False
878,simple,70,False
879,simple,381,False
880,simple,68,False
881,simple,62,False
882,simple,382,False
883,simple,383,False
884,simple,64,False
885,simple,60,False
886,simple,4105,True
887,simple,63,False
888,simple,386,False
889,simple,377,False
890,simple,66,False
891,simple,64,False
892,simple,407,False
893,simple,382,False
894,simple,63,False
895,simple,74,False
896,simple,62,False
897,simple,380,False
898,simple,65,False
899,simple,379,False
900,simple,384,False
901,simple,386,False
902,simple,61,False
903,simple,387,False
904,simple,67,False
905,simple,63,False
906,simple,92,False
907,simple,61,False
908,simple,58,False
909,simple,66,False
910,simple,379,False
911,simple,388,False
912,simple,63,False
913,simple,383,False
914,simple,74,False
915,simple,386,False
916,simple,379,False
917,simple,72,False
918,simple,63,False
919,simple,4101,True
920,simple,380,False
921,simple,64,False
922,simple,61,False
923,simple,379,False
924,simple,62,False
925,simple,67,False
926,simple,62,False
927,simple,76,False
928,simple,58,False
929,simple,379,False
930,simple,384,False
931,simple,64,False
932,simple,390,False
933,simple,386,False
934,simple,379,False
935,simple,68,False
936,simple,385,False
937,simple,64,False
938,simple,73,False
939,simple,395,False
940,simple,66,False
941,simple,387,False
942,simple,392,False
943,simple,393,False
944,simple,389,False
945,simple,385,False
946,simple,62,False
947,simple,65,False
948,simple,381,False
949,simple,4117,True
950,simple,70,False
951,simple,4097,True
952,simple,384,False
953,simple,64,False
954,simple,385,False
955,simple,64,False
956,simple,391,False
957,simple,381,False
958,simple,59,False
959,simple,70,False
960,simple,64,False
961,simple,63,False
962,simple,64,False
963,simple,64,False
964,simple,65,False
965,simple,62,False
966,simple,72,False
967,simple,72,False
968,simple,387,False
969,simple,386,False
970,simple,376,False
971,simple,66,False
972,simple,68,False
973,simple,65,False
974,simple,381,False
975,simple,67,False
976,simple,59,False
977,simple,77,False
978,simple,395,False
979,simple,67,False
980,simple,379,False
981,simple,71,False
982,simple,64,False
983,simple,66,False
984,simple,63,False
985,simple,66,False
986,simple,396,False
987,simple,65,False
988,simple,62,False
989,simple,68,False
990,simple,378,False
991,simple,389,False
992,simple,70,False
993,simple,66,False
994,simple,378,False
995,simple,57,False
996,simple,388,False
997,simple,385,False
998,simple,58,False
999,simple,4099,True
1000,simple,62,False
1001,simple,4095,True
1002,simple,60,False
1003,simple,385,False
1004,simple,80,False
1005,simple,383,False
1006,simple,67,False
1007,simple,62,False
1008,simple,67,False
1009,simple,383,False
1010,simple,58,False
1011,simple,380,False
1012,simple,64,False
1013,simple,69,False
1014,simple,69,False
1015,simple,76,False
1016,simple,385,False
1017,simple,384,False
1018,simple,60,False
1019,simple,66,False
1020,simple,80,False
1021,simple,389,False
1022,simple,383,False
1023,simple,391,False
1024,simple,383,False
1025,simple,389,False
1026,simple,386,False
1027,simple,398,False
1028,simple,384,False
1029,simple,4111,True
1030,simple,4109,True
1031,simple,393,False
1032,simple,81,False
1033,simple,57,False
1034,simple,70,False
1035,simple,384,False
1036,simple,62,False
1037,simple,63,False
1038,simple,65,False
1039,simple,379,False
1040,simple,60,False
1041,simple,70,False
1042,simple,385,False
1043,simple,68,False
1044,simple,387,False
1045,simple,87,False
1046,simple,61,False
1047,simple,399,False
1048,simple,4099,True
1049,simple,68,False
1050,simple,380,False
1051,simple,390,False
1052,simple,62,False
1053,simple,387,False
1054,simple,69,False
1055,simple,390,False
1056,simple,391,False
1057,simple,70,False
1058,simple,66,False
1059,simple,68,False
1060,simple,61,False
1061,simple,60,False
1062,simple,383,False
1063,simple,64,False
1064,simple,58,False
1065,simple,71,False
1066,simple,385,False
1067,simple,62,False
1068,simple,393,False
1069,simple,4096,True
1070,simple,64,False
1071,simple,379,False
1072,simple,384,False
1073,simple,68,False
1074,simple,75,False
1075,simple,61,False
1076,simple,393,False
1077,simple,66,False
1078,simple,72,False
1079,simple,77,False
1080,simple,57,False
1081,simple,390,False
1082,simple,380,False
1083,simple,76,False
1084,simple,387,False
1085,simple,379,False
1086,simple,390,False
1087,simple,60,False
1088,simple,378,False
1089,simple,65,False
1090,simple,385,False
1091,simple,62,False
1092,simple,387,False
1093,simple,64,False
1094,simple,61,False
1095,simple,389,False
1096,simple,390,False
1097,simple,4093,True
1098,simple,385,False
1099,simple,68,False
1100,simple,377,False
1101,simple,72,False
1102,simple,72,False
1103,simple,4100,True
1104,simple,4095,True
1105,simple,71,False
1106,simple,61,False
1107,simple,382,False
1108,simple,401,False
1109,simple,62,False
1110,simple,68,False
1111,simple,385,False
1112,simple,386,False
1113,simple,61,False
1114,simple,395,False
1115,simple,384,False
1116,simple,385,False
1117,simple,61,False
1118,simple,401,False
1119,simple,386,False
1120,simple,381,False
1121,simple,69,False
1122,simple,83,False
1123,simple,65,False
1124,simple,388,False
1125,simple,385,False
1126,simple,76,False
1127,simple,375,False
1128,simple,381,False
1129,simple,390,False
1130,simple,65,False
1131,simple,387,False
1132,simple,377,False
1133,simple,83,False
1134,simple,69,False
1135,simple,381,False
1136,simple,59,False
1137,simple,66,False
1138,simple,62,False
1139,simple,389,False
1140,simple,4097,True
1141,simple,70,False
1142,simple,61,False
1143,simple,68,False
1144,simple,85,False
1145,simple,397,False
1146,simple,68,False
