63,Asymmetric,0.0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Asymmetric,0.0,174,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Weak,0.04,75,72,3,0,0,0,0,0,0,0,0,0,0,0,0,0
719,Moderate,0.46153846153846156,13,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1
75,Asymmetric,0.0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844,Strong,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9,Moderate,0.42857142857142855,161,92,20,0,8,12,0,0,0,0,0,0,0,0,1,28
6129,Strong,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3775,Asymmetric,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3789,Asymmetric,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3816,Moderate,0.5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3863,Strong,1.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
3880,Asymmetric,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,Asymmetric,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,Asymmetric,0.0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Moderate,0.25,12,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3347,Strong,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3369,Asymmetric,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3420,Asymmetric,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3426,Asymmetric,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3523,Strong,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
3622,Asymmetric,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4046,Asymmetric,0.0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,Asymmetric,0.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5087,Moderate,0.25,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6029,Asymmetric,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Asymmetric,0.0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Asymmetric,0.0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Weak,0.0625,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,Weak,0.2222222222222222,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3699,Asymmetric,0.0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3735,Asymmetric,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6127,Asymmetric,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3797,Asymmetric,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3829,Asymmetric,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3894,Asymmetric,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,Asymmetric,0.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3964,Asymmetric,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
