,rn,Fold
3369,R08977,2004
3370,R08978,2004
3371,R02350,2004
3372,R05105,2004
3373,R06122,2004
3374,R06279,2004
3375,R10805,2004
3376,R12960,2004
3377,R04017,2004
3378,R07288,2004
3379,R02181,2004
3380,R02586,2004
3381,R03553,2004
3382,R02996,11
3383,R02996,5
3384,R05798,2004
3385,R01449,2003
3386,R05508,2003
3387,R00928,2003
3388,R00410,2003
3389,R01780,2003
3390,R02990,2003
3391,R00393,2003
3392,R01179,2003
3393,R01359,2003
3394,R07832,2003
3395,R01365,2003
3396,R04000,2003
3397,R05509,2003
3398,R03884,2003
3399,R08219,3016
3400,R08219,7577
3401,R08220,7579
3402,R08249,7579
3403,R08251,7579
3404,R08295,7579
3405,R08300,7579
3406,R00630,7579
3407,R06728,7579
3408,R08255,7579
3409,R08258,7579
3410,R01241,5
3411,R06893,5
3412,R07342,5
3413,R05421,5
3414,R03979,5
3415,R05548,5
3416,R02687,7579
3417,R02688,7579
3418,R05209,7579
3419,R01369,7579
3420,R02250,7579
3421,R02053,371
3422,R03107,371
3423,R07379,371
3424,R07387,371
3425,R01313,371
3426,R01315,371
3427,R01317,371
3428,R07064,371
3429,R07859,371
3430,R01309,7579
3431,R02744,7579
3432,R02746,7579
3433,R02747,7579
3434,R03416,7579
3435,R03417,7579
3436,R07291,7579
3437,R01026,7579
3438,R01029,7579
3439,R06250,207
3440,R06250,633
3441,R02362,207
3442,R02362,633
3443,R01462,7579
3444,R02115,7579
3445,R02933,5
3446,R03751,5
3447,R04785,5
3448,R01519,5
3449,R01351,7579
3450,R01352,7579
3451,R02991,7579
3452,R04238,2011
3453,R02035,2003
3454,R02054,5084
3455,R04034,5084
3456,R07860,5084
3457,R01314,5084
3458,R01316,5084
3459,R02053,5084
3460,R03107,5084
3461,R07379,5084
3462,R07387,5084
3463,R01313,5084
3464,R01315,5084
3465,R01317,5084
3466,R07064,5084
3467,R07859,5084
3468,R01350,7579
3469,R03062,7579
3470,R05510,7579
3471,R05511,7579
3472,R06835,7579
3473,R06838,7579
3474,R08120,7579
3475,R08121,7579
3476,R09136,7579
3477,R09220,7579
3478,R09222,7579
3479,R03893,7579
3480,R04452,7579
3481,R04608,7579
3482,R08150,7579
3483,R10983,7579
3484,R08149,7579
3485,R05792,198
3486,R05792,2007
3487,R00227,2003
3488,R00227,331
3489,R08174,222
3490,R08175,222
3491,R08176,222
3492,R08177,222
3493,R08178,222
3494,R08179,222
3495,R08180,222
3496,R08181,222
3497,R08182,222
3498,R08183,222
3499,R09450,222
3500,R01274,222
3501,R01736,2007
3502,R04090,2007
3503,R00527,7579
3504,R08157,222
3505,R08158,222
3506,R12329,222
3507,R04014,222
3508,R00383,222
3509,R01705,7579
3510,R08602,7579
3511,R01301,222
3512,R01010,7515
3513,R04620,7515
3514,R00626,7515
3515,R02135,7515
3516,R03024,7515
3517,R01010,7525
3518,R00548,7525
3519,R00626,7525
3520,R02135,7525
3521,R03024,7525
3522,R11527,7525
3523,R00582,2006
3524,R02853,2006
3525,R04162,221
3526,R06520,221
3527,R06521,221
3528,R06522,221
3529,R02239,221
3530,R01569,246
3531,R01569,805
3532,R01664,246
3533,R01664,805
3534,R01968,246
3535,R01968,805
3536,R02088,246
3537,R02088,805
3538,R02102,246
3539,R02102,805
3540,R12958,246
3541,R12958,805
3542,R00183,246
3543,R00183,805
3544,R00511,246
3545,R00511,805
3546,R00963,246
3547,R00963,805
3548,R01126,246
3549,R01126,805
3550,R01227,246
3551,R01227,805
3552,R02323,246
3553,R02323,805
3554,R02719,246
3555,R02719,805
3556,R03346,246
3557,R03346,805
3558,R07297,246
3559,R07297,805
3560,R00508,4018
3561,R00508,7587
3562,R00188,4018
3563,R00188,7587
3564,R03371,5
3565,R00304,7525
3566,R00947,7525
3567,R01845,4018
3568,R01845,7587
3569,R00762,4018
3570,R00762,7587
3571,R04780,4018
3572,R04780,7587
3573,R06228,2006
3574,R02778,2006
3575,R03013,2006
3576,R03013,212
3577,R03457,2006
3578,R03457,212
3579,R00164,210
3580,R00164,246
3581,R01334,2006
3582,R01185,4018
3583,R01185,7587
3584,R01186,4018
3585,R01186,7587
3586,R01187,4018
3587,R01187,7587
3588,R07343,4018
3589,R07343,7587
3590,R03372,7525
3591,R02029,514
3592,R02029,180
3593,R04162,180
3594,R06520,180
3595,R06521,180
3596,R06522,180
3597,R02239,180
3598,R05627,180
3599,R09644,180
3600,R01805,2006
3601,R02597,2006
3602,R09827,11
3603,R09827,189
3604,R09827,246
3605,R04404,11
3606,R04404,189
3607,R04404,246
3608,R03024,2006
3609,R03450,210
3610,R00763,2004
3611,R00763,7525
3612,R02731,2004
3613,R02731,7525
3614,R02585,2007
3615,R03394,246
3616,R03430,246
3617,R03427,4018
3618,R03427,7587
3619,R03393,4018
3620,R03393,7587
3621,R03330,2007
3622,R03330,220
3623,R06875,2007
3624,R06875,220
3625,R03363,2007
3626,R03363,220
3627,R10928,2007
3628,R10928,220
3629,R04372,220
3630,R10950,220
3631,R07299,220
3632,R00164,11
3633,R02585,11
3634,R03363,11
3635,R04513,11
3636,R08548,2006
3637,R02587,2006
3638,R11258,4114
3639,R11259,4114
3640,R01010,11
3641,R01010,246
3642,R04620,11
3643,R04620,246
3644,R00626,11
3645,R00626,246
3646,R02135,11
3647,R02135,246
3648,R03024,11
3649,R03024,246
3650,R02027,7515
3651,R02052,7515
3652,R03332,7515
3653,R07381,7515
3654,R01312,7515
3655,R02051,11
3656,R02051,300
3657,R07385,11
3658,R07385,300
3659,R01310,11
3660,R01310,300
3661,R03332,11
3662,R03332,214
3663,R03332,220
3664,R03332,4
3665,R10952,11
3666,R10952,214
3667,R10952,220
3668,R10952,4
3669,R03435,11
3670,R03435,214
3671,R03435,220
3672,R03435,4
3673,R02541,246
3674,R12035,2007
3675,R01562,246
3676,R01562,805
3677,R01877,246
3678,R01877,805
3679,R02148,246
3680,R02148,805
3681,R02370,246
3682,R02370,805
3683,R03060,246
3684,R03060,805
3685,R03423,246
3686,R03423,805
3687,R03537,246
3688,R03537,805
3689,R03538,246
3690,R03538,805
3691,R03929,246
3692,R03929,805
3693,R05135,246
3694,R05135,805
3695,R00191,131
3696,R00191,247
3697,R01234,131
3698,R01234,247
3699,R03259,131
3700,R03259,247
3701,R03422,2004
3702,R03422,264
3703,R07388,304
3704,R07388,378
3705,R07388,920
3706,R04362,304
3707,R04362,378
3708,R04362,920
3709,R03333,2002
3710,R03331,2002
3711,R04373,4187
3712,R00857,2002
3713,R01030,2002
3714,R01470,2002
3715,R01856,131
3716,R04856,7515
3717,R06280,7515
3718,R01243,7515
3719,R03980,7515
3720,R08941,7515
3721,R08942,7515
3722,R03404,7515
3723,R07806,7515
3724,R01028,7515
3725,R12961,7515
3726,R07823,7515
3727,R07812,7515
3728,R07821,7515
3729,R07808,7515
3730,R07819,7515
3731,R00336,1077
3732,R00336,131
3733,R00336,221
3734,R00336,304
3735,R00336,316
3736,R02108,12
3737,R02108,2002
3738,R02112,12
3739,R02112,2002
3740,R06209,12
3741,R06209,2002
3742,R11262,12
3743,R11262,2002
3744,R02112,11
3745,R11262,11
3746,R01790,109
3747,R01790,11
3748,R01790,12
3749,R01791,109
3750,R01791,11
3751,R01791,12
3752,R06199,109
3753,R06199,11
3754,R06199,12
3755,R06200,109
3756,R06200,11
3757,R06200,2002
3758,R11307,109
3759,R11307,11
3760,R11307,2002
3761,R11308,109
3762,R11308,11
3763,R11308,2002
3764,R00801,12
3765,R00801,2002
3766,R01718,12
3767,R01718,2002
3768,R01791,2002
3769,R06080,12
3770,R06080,2002
3771,R06199,2002
3772,R01206,2002
3773,R02334,2002
3774,R06081,2002
3775,R06082,2002
3776,R01982,207
3777,R02360,207
3778,R06201,207
3779,R06239,207
3780,R03491,5
3781,R04018,5
3782,R04634,5
3783,R04650,5
3784,R05115,5
3785,R05117,5
3786,R05996,5
3787,R05998,5
3788,R05999,5
3789,R06012,5
3790,R06147,5
3791,R06253,5
3792,R00028,12
3793,R00028,2002
3794,R00802,12
3795,R00802,2002
3796,R06084,12
3797,R06084,2002
3798,R06087,12
3799,R06087,2002
3800,R06088,12
3801,R06088,2002
3802,R00026,2002
3803,R00306,2002
3804,R02558,2002
3805,R02887,2002
3806,R02985,2002
3807,R03527,2002
3808,R04949,2002
3809,R04998,2002
3810,R06077,2002
3811,R06092,2002
3812,R10035,2002
3813,R10039,2002
3814,R10040,2002
3815,R01101,12
3816,R01101,2002
3817,R01103,12
3818,R01103,2002
3819,R01104,12
3820,R01104,2002
3821,R01194,12
3822,R01194,2002
3823,R01329,12
3824,R01329,2002
3825,R02926,12
3826,R02926,2002
3827,R03618,12
3828,R03618,2002
3829,R03634,12
3830,R03634,2002
3831,R04019,12
3832,R04019,2002
3833,R04470,12
3834,R04470,2002
3835,R05549,12
3836,R05549,2002
3837,R05961,12
3838,R05961,2002
3839,R06070,12
3840,R06070,2002
3841,R06091,12
3842,R06091,2002
3843,R06093,12
3844,R06093,2002
3845,R06094,12
3846,R06094,2002
3847,R06096,12
3848,R06096,2002
3849,R06142,12
3850,R06142,2002
3851,R06152,12
3852,R06152,2002
3853,R01100,11
3854,R01100,12
3855,R01100,2002
3856,R01105,11
3857,R01105,12
3858,R01105,2002
3859,R01678,11
3860,R01678,12
3861,R01678,2002
3862,R03355,11
3863,R03355,12
3864,R03355,2002
3865,R04633,11
3866,R04633,12
3867,R04633,2002
3868,R04783,11
3869,R04783,12
3870,R04783,2002
3871,R05112,11
3872,R05112,12
3873,R05112,2002
3874,R05994,11
3875,R05994,12
3876,R05994,2002
3877,R06010,11
3878,R06010,12
3879,R06010,2002
3880,R06098,11
3881,R06098,12
3882,R06098,2002
3883,R06099,11
3884,R06099,12
3885,R06099,2002
3886,R06114,11
3887,R06114,12
3888,R06114,2002
3889,R06144,11
3890,R06144,12
3891,R06144,2002
3892,R06202,11
3893,R06202,12
3894,R06202,2002
3895,R07807,11
3896,R07807,12
3897,R07807,2002
3898,R08717,12
3899,R08717,2002
3900,R08717,632
3901,R08718,12
3902,R08718,2002
3903,R08718,632
3904,R01332,10
3905,R01332,11
3906,R01332,2002
3907,R06207,10
3908,R06207,11
3909,R06207,2002
3910,R08613,10
3911,R08613,11
3912,R08613,2002
3913,R08614,10
3914,R08614,11
3915,R08614,2002
3916,R00801,10
3917,R00802,10
3918,R02410,10
3919,R03635,10
3920,R03921,10
3921,R06088,10
3922,R06100,10
3923,R06101,10
3924,R06102,10
3925,R06103,109
3926,R00010,109
3927,R04979,11
3928,R04979,2002
3929,R08127,11
3930,R08127,2002
3931,R01478,11
3932,R01478,2002
3933,R07818,11
3934,R07818,2002
3935,R08260,11
3936,R08260,2002
3937,R10830,11
3938,R10830,2002
3939,R05196,1081
3940,R05196,1082
3941,R05196,109
3942,R05196,12
3943,R06069,1081
3944,R06069,1082
3945,R06069,109
3946,R06069,12
3947,R02109,1081
3948,R02109,1082
3949,R02109,109
3950,R02109,12
3951,R06158,1081
3952,R06158,1082
3953,R06158,109
3954,R06158,12
3955,R07824,2002
3956,R07824,2498
3957,R07825,2002
3958,R07825,2498
3959,R10905,2002
3960,R10905,2498
3961,R01433,10
3962,R01433,2002
3963,R01433,5
3964,R06203,10
3965,R06203,2002
3966,R06203,5
3967,R00308,2002
3968,R06204,2002
3969,R01498,2002
3970,R03617,10
3971,R03617,12
3972,R03617,2002
3973,R00801,355
3974,R00801,4178
3975,R01718,355
3976,R01718,4178
3977,R01791,355
3978,R01791,4178
3979,R06080,355
3980,R06080,4178
3981,R06199,355
3982,R06199,4178
3983,R00802,355
3984,R00802,4178
3985,R06087,355
3986,R06087,4178
3987,R06088,355
3988,R06088,4178
3989,R04183,12
3990,R04183,2002
3991,R05966,12
3992,R05966,2002
3993,R07816,2002
3994,R07816,2498
3995,R07816,4266
3996,R03162,10
3997,R03162,2002
3998,R00022,2002
3999,R03492,2002
4000,R04184,2002
4001,R04586,2002
4002,R05963,2002
4003,R06001,2002
4004,R06004,2002
4005,R06141,2002
4006,R07809,2002
4007,R07810,2002
4008,R09323,2002
4009,R10831,2002
4010,R11316,2002
4011,R11317,2002
4012,R12963,2002
4013,R06160,11
4014,R06160,2002
4015,R03122,11
4016,R03122,2002
4017,R01762,12
4018,R01762,2002
4019,R00308,207
4020,R03115,2002
4021,R03115,207
4022,R06078,2002
4023,R06078,207
4024,R05624,10
4025,R06206,10
4026,R11311,10
4027,R07413,207
4028,R04320,207
4029,R11261,11
4030,R11261,12
4031,R11261,2002
4032,R07813,11
4033,R07813,12
4034,R07822,11
4035,R07822,12
4036,R08612,10
4037,R08612,11
4038,R08612,2002
4039,R03255,2002
4040,R03256,2002
4041,R06110,2002
4042,R05133,2003
4043,R05133,279
4044,R05134,2003
4045,R05134,279
4046,R06112,2003
4047,R06112,279
4048,R00839,2003
4049,R00839,279
4050,R05133,2002
4051,R05134,2002
4052,R06112,2002
4053,R00839,2002
4054,R02886,10
4055,R02886,387
4056,R06200,10
4057,R06200,387
4058,R11308,10
4059,R11308,387
4060,R06113,12
4061,R06113,2002
4062,R00837,12
4063,R00837,2002
4064,R05979,109
4065,R05979,12
4066,R12969,2002
4067,R12970,2002
4068,R12479,109
4069,R05984,12
4070,R05984,2002
4071,R05984,632
4072,R00837,2003
4073,R00837,279
4074,R06113,2003
4075,R06113,279
4076,R06115,2003
4077,R06115,279
4078,R00838,2003
4079,R00838,279
4080,R02833,235
4081,R06175,235
4082,R01480,2002
4083,R01480,2498
4084,R11256,11
4085,R11256,2002
4086,R04094,2002
4087,R01237,2002
4088,R01245,7517
4089,R01677,7517
4090,R01770,7517
4091,R02143,7517
4092,R02341,7517
4093,R01273,7517
4094,R10046,7517
4095,R01080,7517
4096,R00182,2011
4097,R00119,2007
4098,R10631,2007
4099,R10632,2007
4100,R00102,2007
4101,R10629,2007
4102,R10630,2007
4103,R00194,2011
4104,R12621,2011
4105,R01401,2011
4106,R07626,528
4107,R01886,528
4108,R00192,2003
4109,R03037,7561
4110,R07644,7561
4111,R07013,7579
4112,R07014,7579
4113,R07027,7579
4114,R07071,7579
4115,R07072,7579
4116,R07082,7579
4117,R09410,7579
4118,R09417,7579
4119,R09443,7579
4120,R07627,7579
4121,R11930,7579
4122,R03057,109
4123,R03057,2498
4124,R03057,4081
4125,R00899,2011
4126,R00899,7529
4127,R04951,2011
4128,R04951,7529
4129,R00899,109
4130,R00899,11
4131,R00899,2498
4132,R00899,4081
4133,R04951,109
4134,R04951,11
4135,R04951,2498
4136,R04951,4081
4137,R00135,7579
4138,R10688,2011
4139,R10688,2487
4140,R10688,611
4141,R10687,2011
4142,R10687,2487
4143,R10687,611
4144,R04242,2007
4145,R02418,219
4146,R10648,2484
4147,R06134,7507
4148,R06134,7546
4149,R00485,7507
4150,R00485,7546
4151,R01579,223
4152,R01579,4019
4153,R06134,223
4154,R06134,4019
4155,R00256,223
4156,R00256,4019
4157,R06134,7552
4158,R00321,7552
4159,R02540,7552
4160,R03096,7552
4161,R03180,7552
4162,R03909,7552
4163,R05551,7552
4164,R05590,7552
4165,R06134,11
4166,R06134,2002
4167,R06134,525
4168,R06134,65
4169,R00131,11
4170,R00131,2002
4171,R00131,525
4172,R00131,65
4173,R04666,246
4174,R06134,246
4175,R08228,246
4176,R00905,246
4177,R00988,7579
4178,R04911,7579
4179,R01959,7579
4180,R00944,304
4181,R00944,7571
4182,R02170,210
4183,R04103,210
4184,R01077,12
4185,R01077,246
4186,R06134,12
4187,R01076,12
4188,R01076,246
4189,R00488,2011
4190,R00488,325
4191,R00526,2011
4192,R00526,325
4193,R00546,2011
4194,R00546,325
4195,R09107,2011
4196,R09107,304
4197,R00669,2011
4198,R00669,304
4199,R02734,2011
4200,R02734,304
4201,R06134,7561
4202,R01268,7561
4203,R02797,210
4204,R03975,210
4205,R03977,210
4206,R04486,210
4207,R04487,210
4208,R05835,210
4209,R05168,2002
4210,R02059,2002
4211,R03421,210
4212,R04112,285
4213,R04112,2011
4214,R04112,319
4215,R04112,144
4216,R04112,3374
4217,R01424,2011
4218,R02333,2002
4219,R06241,2002
4220,R10979,223
4221,R10979,4019
4222,R10975,223
4223,R10975,4019
4224,R00059,223
4225,R00059,4019
4226,R00524,10
4227,R00524,3685
4228,R08707,10
4229,R08707,219
4230,R08707,320
4231,R00005,7552
4232,R00005,810
4233,R00525,2011
4234,R02190,246
4235,R01918,2003
4236,R01918,219
4237,R01917,2003
4238,R01917,219
4239,R01581,2002
4240,R01581,65
4241,R04268,289
4242,R05635,289
4243,R03055,2002
4244,R03055,65
4245,R08227,2002
4246,R08227,65
4247,R02269,2002
4248,R02269,65
4249,R01993,2002
4250,R01993,65
4251,R02425,2002
4252,R03743,223
4253,R03743,4019
4254,R04318,223
4255,R04318,4019
4256,R06363,223
4257,R06363,4019
4258,R02288,2002
4259,R02288,65
4260,R00251,223
4261,R00251,231
4262,R00251,2484
4263,R00251,7604
4264,R01884,7539
4265,R03448,7552
4266,R03187,1143
4267,R03187,2484
4268,R03187,7604
4269,R03187,223
4270,R03187,231
4271,R11181,2487
4272,R00551,2006
4273,R02422,10
4274,R06138,232
4275,R00552,232
4276,R02285,2006
4277,R01157,2006
4278,R02621,11
4279,R02621,232
4280,R02621,3156
4281,R02513,232
4282,R00776,10
4283,R04189,232
4284,R01411,2002
4285,R00974,2002
4286,R02922,2002
4287,R01244,2002
4288,R01244,3292
4289,R01244,65
4290,R01676,2002
4291,R01676,2492
4292,R01560,2002
4293,R02556,2002
4294,R08221,2492
4295,R01878,2492
4296,R02485,2492
4297,R00181,2002
4298,R04326,2492
4299,R04325,2492
4300,R04560,7571
4301,R01663,2492
4302,R02325,70
4303,R00428,230
4304,R04639,230
4305,R05046,230
4306,R05048,230
4307,R00424,230
4308,R04037,239
4309,R00425,7580
4310,R03459,2492
4311,R03464,869
4312,R01655,133
4313,R00540,246
4314,R01887,246
4315,R03093,246
4316,R03542,246
4317,R05591,246
4318,R07855,246
4319,R05358,246
4320,R00997,2003
4321,R02273,246
4322,R00004,2
4323,R00085,2484
4324,R10443,2484
4325,R00086,2484
4326,R00159,2484
4327,R00335,2484
4328,R00569,2484
4329,R00719,2484
4330,R02095,2484
4331,R02319,2484
4332,R00122,2484
4333,R00155,2484
4334,R00328,2484
4335,R00514,2484
4336,R00961,2484
4337,R02092,2484
4338,R10442,2484
4339,R00329,2484
4340,R00317,304
4341,R00539,304
4342,R01421,304
4343,R01515,304
4344,R00103,304
4345,R00103,378
4346,R00103,7515
4347,R00103,920
4348,R00160,304
4349,R00160,378
4350,R00160,7515
4351,R00160,920
4352,R00287,304
4353,R00287,378
4354,R00287,7515
4355,R00287,920
4356,R03004,304
4357,R03004,378
4358,R03004,7515
4359,R03004,920
4360,R03036,304
4361,R03036,378
4362,R03036,7515
4363,R03036,920
4364,R00087,304
4365,R00087,378
4366,R00087,7515
4367,R00087,920
4368,R00426,304
4369,R00426,378
4370,R00426,7515
4371,R00426,920
4372,R00515,304
4373,R00515,378
4374,R00515,7515
4375,R00515,920
4376,R00662,304
4377,R00662,378
4378,R00662,7515
4379,R00662,920
4380,R01532,304
4381,R01532,378
4382,R01532,7515
4383,R01532,920
4384,R11323,304
4385,R11323,378
4386,R11323,7515
4387,R11323,920
4388,R03409,5104
4389,R03042,5104
4390,R01054,221
4391,R01054,246
4392,R00855,246
4393,R09538,246
4394,R00184,221
4395,R00969,221
4396,R02805,221
4397,R01232,221
4398,R08243,7504
4399,R02720,7504
4400,R03531,7504
4401,R00720,7504
4402,R11896,70
4403,R02100,70
4404,R01797,312
4405,R00187,312
4406,R04035,159
4407,R03409,131
4408,R03409,2484
4409,R03042,131
4410,R03042,2484
4411,R00125,246
4412,R00335,2004
4413,R00335,220
4414,R00335,6108
4415,R00719,7504
4416,R12589,7504
4417,R09877,221
4418,R12595,221
4419,R01364,11
4420,R01364,4
4421,R02668,3016
4422,R02668,7577
4423,R03936,3016
4424,R03936,7577
4425,R00987,3016
4426,R00987,7577
4427,R00543,11
4428,R01085,11
4429,R03830,2006
4430,R05287,2006
4431,R02336,7579
4432,R02857,7579
4433,R05287,7579
4434,R03734,2485
4435,R03523,7579
4436,R05369,7579
4437,R05370,7579
4438,R02337,7579
4439,R05284,7579
4440,R05367,7579
4441,R05368,7579
4442,R07669,7579
4443,R07670,7579
4444,R07814,7515
4445,R01963,7515
4446,R00014,2003
4447,R00755,2003
4448,R00755,7574
4449,R00224,2003
4450,R00224,7574
4451,R00636,2003
4452,R00636,7574
4453,R00522,10
4454,R12212,103
4455,R12212,2002
4456,R12212,325
4457,R01366,4295
4458,R02948,4111
4459,R02672,2003
4460,R02672,7574
4461,R01764,2003
4462,R01764,7574
4463,R01908,2003
4464,R01908,7574
4465,R05373,213
4466,R05373,3599
4467,R00233,213
4468,R00233,3599
4469,R00489,1
4470,R00489,3016
4471,R00489,7577
4472,R01682,3016
4473,R01682,7577
4474,R02466,3016
4475,R02466,7577
4476,R00261,3016
4477,R00261,7577
4478,R00670,1
4479,R00670,2002
4480,R00462,2007
4481,R00462,275
4482,R00462,3016
4483,R00462,7577
4484,R00566,1
4485,R00566,2002
4486,R00566,2007
4487,R00566,275
4488,R00566,3016
4489,R00566,7577
4490,R00451,1
4491,R00451,2002
4492,R04209,2007
4493,R04209,206
4494,R04591,2007
4495,R04591,206
4496,R07405,2007
4497,R07404,2003
4498,R07404,206
4499,R07404,325
4500,R01167,3016
4501,R01167,7577
4502,R00965,2002
4503,R02080,3016
4504,R00736,3016
4505,R11932,3016
4506,R11932,7577
4507,R00685,3016
4508,R00685,7577
4509,R00699,3016
4510,R00699,7577
4511,R00736,7577
4512,R04909,3016
4513,R04909,7577
4514,R02080,7577
4515,R02701,3016
4516,R02701,7577
4517,R00345,2002
4518,R00726,2004
4519,R00431,2004
4520,R01121,212
4521,R01121,304
4522,R03269,7564
4523,R04972,2002
4524,R03197,2002
4525,R03140,2002
4526,R03140,304
4527,R00024,2002
4528,R00024,304
4529,R03140,302
4530,R00024,302
4531,R03470,608
4532,R00013,2003
4533,R00013,7574
4534,R03508,2002
4535,R00341,2004
4536,R00178,331
4537,R01238,1
4538,R01238,327
4539,R01238,3688
4540,R02055,108
4541,R02055,11
4542,R03028,2486
4543,R00621,323
4544,R01940,323
4545,R03316,323
4546,R01700,323
4547,R00474,323
4548,R00474,7522
4549,R00474,7574
4550,R02571,7522
4551,R02571,7574
4552,R02570,7522
4553,R02570,7574
4554,R00272,323
4555,R00272,7522
4556,R00272,7574
4557,R05374,11
4558,R02602,11
4559,R11916,3016
4560,R11916,7577
4561,R01066,2002
4562,R00751,3016
4563,R00751,7577
4564,R06171,3016
4565,R06171,7577
4566,R00761,7522
4567,R00761,7574
4568,R01621,7522
4569,R01621,7574
4570,R01845,304
4571,R00762,304
4572,R04780,304
4573,R01829,304
4574,R02568,304
4575,R01068,304
4576,R01070,304
4577,R01829,2002
4578,R02568,2002
4579,R01068,2002
4580,R01070,2002
4581,R05605,2002
4582,R00470,2002
4583,R10283,2002
4584,R01826,2002
4585,R03254,2002
4586,R12696,281
4587,R02262,281
4588,R01785,281
4589,R02263,281
4590,R02754,2002
4591,R03277,2002
4592,R01064,2002
4593,R11037,230
4594,R03504,230
4595,R11073,230
4596,R06516,3016
4597,R06516,7577
4598,R02464,3016
4599,R02464,7577
4600,R01069,2002
4601,R00479,2002
4602,R00472,2002
4603,R01811,2002
4604,R12768,2002
4605,R08090,2002
4606,R01360,2002
4607,R01978,7581
4608,R01323,2003
4609,R00354,2002
4610,R00351,172
4611,R00352,2003
4612,R00352,2007
4613,R00352,206
4614,R01213,103
4615,R01213,2002
4616,R01213,330
4617,R03050,2003
4618,R03050,7574
4619,R04672,2003
4620,R04672,7574
4621,R04673,2003
4622,R04673,7574
4623,R08648,2003
4624,R08648,7574
4625,R00006,2003
4626,R00006,7574
4627,R00226,2003
4628,R00226,7574
4629,R00014,304
4630,R03050,304
4631,R04672,304
4632,R04673,304
4633,R08648,304
4634,R00006,304
4635,R00226,304
4636,R04435,2002
4637,R04435,70
4638,R01804,2002
4639,R01804,70
4640,R00271,103
4641,R00271,2002
4642,R03508,2007
4643,R00985,2002
4644,R00985,2007
4645,R00986,2002
4646,R00986,2007
4647,R00985,880
4648,R00986,880
4649,R00931,172
4650,R07263,2486
4651,R04150,2486
4652,R05636,7522
4653,R05636,7574
4654,R04558,2002
4655,R04558,2007
4656,R00256,2007
4657,R12152,2002
4658,R12152,2007
4659,R01716,2007
4660,R05552,2007
4661,R01716,880
4662,R00256,880
4663,R05552,880
4664,R00750,103
4665,R00750,2002
4666,R00673,3016
4667,R12758,3016
4668,R11100,3016
4669,R11099,3016
4670,R00728,3016
4671,R12759,3016
4672,R00034,182
4673,R00034,2005
4674,R08765,182
4675,R08765,2005
4676,R10760,2002
4677,R00132,62
4678,R10092,62
4679,R00132,4126
4680,R10092,4126
4681,R01082,2485
4682,R01082,2487
4683,R01082,4952
4684,R01082,4953
4685,R01082,602
4686,R01324,2487
4687,R01324,7542
4688,R01325,2487
4689,R01325,7542
4690,R01900,2487
4691,R01900,7542
4692,R01324,109
4693,R01325,109
4694,R01900,109
4695,R04425,109
4696,R04425,2487
4697,R04425,7542
4698,R03032,2002
4699,R03032,218
4700,R03033,2002
4701,R03033,218
4702,R01540,129
4703,R01540,2003
4704,R01540,70
4705,R05606,2002
4706,R05070,109
4707,R05070,12
4708,R05070,2
4709,R05070,2003
4710,R05070,4
4711,R05070,604
4712,R01209,109
4713,R01209,12
4714,R01209,2
4715,R01209,2003
4716,R01209,4
4717,R01209,604
4718,R04441,109
4719,R04441,12
4720,R04441,2
4721,R04441,2003
4722,R04441,4
4723,R04441,604
4724,R04206,2002
4725,R04206,218
4726,R00658,2002
4727,R00658,218
4728,R03224,2486
4729,R04137,2486
4730,R05595,2486
4731,R06411,2486
4732,R06412,2486
4733,R06942,2486
4734,R08093,2486
4735,R02685,2486
4736,R03026,2486
4737,R03045,2486
4738,R04170,2486
4739,R04204,2486
4740,R04224,2486
4741,R04738,2486
4742,R04740,2486
4743,R04744,2486
4744,R04746,2486
4745,R04749,2486
4746,R07314,2486
4747,R07889,2486
4748,R07893,2486
4749,R07897,2486
4750,R02722,2002
4751,R02722,2003
4752,R02340,2002
4753,R02340,2003
4754,R00674,2002
4755,R00674,2003
4756,R00891,2003
4757,R00891,282
4758,R01289,2003
4759,R01289,282
4760,R04942,2003
4761,R04942,282
4762,R01290,2003
4763,R01290,282
4764,R00036,2002
4765,R02376,2002
4766,R10170,2487
4767,R10170,7542
4768,R04001,2487
4769,R04001,7542
4770,R03968,2487
4771,R03968,7542
4772,R03898,7542
4773,R03896,7542
4774,R03898,2487
4775,R03896,2487
4776,R04371,2487
4777,R04371,7542
4778,R08056,2002
4779,R08056,218
4780,R02752,2002
4781,R02752,218
4782,R02279,2002
4783,R02426,2003
4784,R06513,2003
4785,R00888,2003
4786,R02914,2003
4787,R02914,321
4788,R02914,4022
4789,R00691,7523
4790,R01373,7523
4791,R10147,2002
4792,R10117,222
4793,R10121,222
4794,R10208,222
4795,R07639,222
4796,R03165,2007
4797,R04424,298
4798,R04424,4021
4799,R02828,830
4800,R05596,830
4801,R07780,830
4802,R02826,830
4803,R04020,830
4804,R05379,830
4805,R07854,830
4806,R07865,149
4807,R07863,149
4808,R04734,305
4809,R10079,101
4810,R10079,812
4811,R03546,101
4812,R03546,812
4813,R07316,101
4814,R07316,812
4815,R06242,109
4816,R06242,12
4817,R02465,109
4818,R02465,12
4819,R06240,207
4820,R02361,207
4821,R08694,207
4822,R03706,109
4823,R03706,207
4824,R06249,5
4825,R04382,5
4826,R02361,109
4827,R06240,109
4828,R05086,2003
4829,R01466,2003
4830,R01016,7543
4831,R03083,2007
4832,R03083,4002
4833,R01714,875
4834,R09959,230
