,rn,Fold
365,R03176,2003
366,R02644,2003
367,R09955,2003
368,R01813,2003
369,R11762,2003
370,R11763,2003
371,R02975,2003
372,R08208,2003
373,R02935,276
374,R05576,129
375,R05576,2003
376,R01976,129
377,R01976,2003
378,R03191,217
379,R03191,313
380,R03192,217
381,R03192,313
382,R02792,2003
383,R02472,129
384,R02472,2003
385,R01430,2003
386,R01430,298
387,R07015,2003
388,R07015,298
389,R09420,2003
390,R09420,298
391,R00814,2003
392,R00814,298
393,R02581,2003
394,R03557,2003
395,R04285,2003
396,R04552,2003
397,R03458,7501
398,R02593,2003
399,R02593,236
400,R03918,2003
401,R03918,236
402,R06570,2003
403,R06570,236
404,R06571,2003
405,R06571,236
406,R07437,2003
407,R07437,236
408,R03054,2003
409,R03054,236
410,R00834,2002
411,R02377,2007
412,R02377,4002
413,R03119,2007
414,R03119,4002
415,R01768,231
416,R01768,325
417,R12987,231
418,R12987,325
419,R12988,231
420,R12988,325
421,R02103,231
422,R02103,325
423,R08240,2002
424,R01130,2002
425,R11763,2002
426,R08955,2002
427,R08957,2002
428,R08960,2002
429,R08879,2003
430,R08880,2003
431,R01739,2003
432,R03123,2003
433,R03636,2003
434,R05038,2003
435,R07998,2003
436,R07999,2003
437,R11500,2003
438,R00605,2007
439,R00605,4002
440,R05571,2003
441,R05571,236
442,R07135,2003
443,R07135,236
444,R05679,2007
445,R05679,4002
446,R05680,2007
447,R05680,4002
448,R05837,7510
449,R05681,7510
450,R07406,7510
451,R05683,2003
452,R05683,236
453,R05684,2003
454,R05684,236
455,R05688,2003
456,R05688,298
457,R00196,243
458,R00197,217
459,R00197,304
460,R10053,217
461,R03184,217
462,R00647,217
463,R00475,217
464,R00475,304
465,R01341,217
466,R01341,304
467,R00846,244
468,R00846,6058
469,R01768,179
470,R01768,217
471,R01768,244
472,R12987,179
473,R12987,217
474,R12987,244
475,R12988,179
476,R12988,217
477,R12988,244
478,R02103,179
479,R02103,217
480,R02103,244
481,R00069,179
482,R00069,217
483,R00069,231
484,R00069,244
485,R00069,325
486,R01769,179
487,R01769,217
488,R01769,231
489,R01769,244
490,R01769,325
491,R07942,179
492,R07942,217
493,R07942,231
494,R07942,244
495,R07942,325
496,R07977,179
497,R07977,217
498,R07977,231
499,R07977,244
500,R07977,325
501,R07978,179
502,R07978,217
503,R07978,231
504,R07978,244
505,R07978,325
506,R07979,179
507,R07979,217
508,R07979,231
509,R07979,244
510,R07979,325
511,R08235,179
512,R08235,217
513,R08235,231
514,R08235,244
515,R08235,325
516,R12989,179
517,R12989,217
518,R12989,231
519,R12989,244
520,R12989,325
521,R12990,179
522,R12990,217
523,R12990,231
524,R12990,244
525,R12990,325
526,R02107,179
527,R02107,217
528,R02107,231
529,R02107,244
530,R02107,325
531,R02715,217
532,R01025,2003
533,R01025,244
534,R00298,2003
535,R00298,244
536,R03534,2003
537,R03534,244
538,R00848,2003
539,R00848,244
540,R00848,6058
541,R00849,2003
542,R00849,244
543,R00849,6058
544,R08657,2003
545,R08657,244
546,R08657,6058
547,R05062,107
548,R05198,107
549,R05285,107
550,R00305,2003
551,R00305,244
552,R01257,2003
553,R01257,217
554,R01257,304
555,R00360,2003
556,R00360,217
557,R00360,304
558,R00361,2003
559,R00361,217
560,R00361,304
561,R06620,107
562,R06620,109
563,R06620,5
564,R00874,2003
565,R00874,298
566,R09552,2003
567,R09552,236
568,R06983,2003
569,R06983,236
570,R07140,2003
571,R07140,236
572,R00519,2003
573,R00519,1
574,R00519,1001
575,R00519,205
576,R00519,221
577,R10797,3740
578,R11944,3740
579,R00264,7524
580,R01986,7524
581,R02957,7524
582,R05237,7524
583,R05238,7524
584,R00538,7524
585,R00631,7524
586,R00710,7524
587,R00904,7524
588,R01752,7524
589,R02549,7524
590,R02678,7524
591,R02940,7524
592,R03283,7524
593,R03869,7524
594,R04065,7524
595,R04506,7524
596,R04903,7524
597,R05050,7524
598,R05286,7524
599,R06366,7524
600,R08146,7524
601,R07104,7524
602,R00634,7524
603,R00711,7524
604,R02536,7524
605,R02537,7524
606,R02695,7524
607,R02697,7524
608,R03300,7524
609,R03302,7524
610,R04882,7524
611,R04883,7524
612,R04888,7524
613,R04889,7524
614,R04891,7524
615,R04892,7524
616,R04996,7524
617,R08282,7524
618,R08283,7524
619,R08307,7524
620,R02566,7524
621,R02565,7524
622,R01058,7524
623,R01172,7524
624,R00228,7524
625,R02291,2003
626,R02291,298
627,R01061,2003
628,R01061,298
629,R00713,7524
630,R00714,7524
631,R02401,7524
632,R12215,7524
633,R00705,7524
634,R00706,7524
635,R00922,7524
636,R00935,7524
637,R01293,7524
638,R05289,7524
639,R05663,7524
640,R05664,7524
641,R07667,7524
642,R01419,7524
643,R03098,2003
644,R03098,327
645,R03098,4011
646,R03098,7584
647,R04390,2003
648,R04390,327
649,R04390,4011
650,R04390,7584
651,R04863,2003
652,R04863,327
653,R04863,4011
654,R04863,7584
655,R11679,2003
656,R11679,327
657,R11679,4011
658,R11679,7584
659,R03443,2003
660,R03443,298
661,R03313,7524
662,R00604,2003
663,R00604,236
664,R01063,2003
665,R01063,298
666,R04418,7524
667,R02941,7524
668,R10301,2003
669,R10301,236
670,R09129,2003
671,R09129,236
672,R07441,7524
673,R07442,7524
674,R05700,7524
675,R05701,7524
676,R12235,2003
677,R12235,327
678,R12235,4011
679,R12235,7584
680,R03145,2003
681,R03145,7574
682,R04085,179
683,R04085,217
684,R04085,231
685,R04085,244
686,R04085,325
687,R08408,179
688,R08408,217
689,R08408,231
690,R08408,244
691,R08408,325
692,R00635,179
693,R00635,217
694,R00635,231
695,R00635,244
696,R00635,325
697,R01709,179
698,R01709,217
699,R01709,231
700,R01709,244
701,R01709,325
702,R02125,179
703,R02125,217
704,R02125,231
705,R02125,244
706,R02125,325
707,R02657,179
708,R02657,217
709,R02657,231
710,R02657,244
711,R02657,325
712,R03871,179
713,R03871,217
714,R03871,231
715,R03871,244
716,R03871,325
717,R04904,179
718,R04904,217
719,R04904,231
720,R04904,244
721,R04904,325
722,R08349,179
723,R08349,217
724,R08349,231
725,R08349,244
726,R08349,325
727,R08384,179
728,R08384,217
729,R08384,231
730,R08384,244
731,R08384,325
732,R00207,2003
733,R00207,7574
734,R00014,7574
735,R03270,7574
736,R01699,7574
737,R00014,7522
738,R03270,7522
739,R01699,7522
740,R00621,7522
741,R00621,7574
742,R01933,7522
743,R01933,7574
744,R01940,7522
745,R01940,7574
746,R03316,7522
747,R03316,7574
748,R01700,7522
749,R01700,7574
750,R01702,7574
751,R04225,7574
752,R07599,7574
753,R07600,7574
754,R07601,7574
755,R07602,7574
756,R07603,7574
757,R07604,7574
758,R10996,7574
759,R10997,7574
760,R01701,7574
761,R01702,7522
762,R04225,7522
763,R07599,7522
764,R07600,7522
765,R07601,7522
766,R07602,7522
767,R07603,7522
768,R07604,7522
769,R10996,7522
770,R10997,7522
771,R01701,7522
772,R01199,7522
773,R01199,7574
774,R08034,7522
775,R08034,7574
776,R01196,7522
777,R01196,7574
778,R01199,205
779,R08034,205
780,R01196,205
781,R01199,2004
782,R08034,2004
783,R01196,2004
784,R01197,2004
785,R01197,7574
786,R10516,2004
787,R10516,7574
788,R01197,205
789,R07161,7574
790,R07161,2004
791,R11201,2008
792,R11201,517
793,R08566,7522
794,R08566,7574
795,R08567,7522
796,R08567,7574
797,R07160,7522
798,R07160,7574
799,R08566,2004
800,R08567,2004
801,R07160,2004
802,R08034,4044
803,R08034,7586
804,R09317,4044
805,R09317,7586
806,R07157,4044
807,R07157,7586
808,R09317,4017
809,R09317,4223
810,R09317,4971
811,R10243,4017
812,R10243,4223
813,R10243,4971
814,R10243,7586
815,R08433,4017
816,R08433,4223
817,R08433,4971
818,R08433,7586
819,R10385,2002
820,R10385,3858
821,R10385,7595
822,R08034,4017
823,R07157,4017
